,Rank,NOC,Gold,Silver,Bronze,Total,Year
70,7,ZAF,4,2,0,6,1912
71,8,NOR,3,2,5,10,1912
72,9,CAN,3,2,3,8,1912
73,9,HUN,3,2,3,8,1912
74,11,ITA,3,1,2,6,1912
75,12,AUS,2,2,3,7,1912
76,13,BEL,2,1,3,6,1912
77,14,DNK,1,6,5,12,1912
78,15,GRC,1,0,1,2,1912
79,16,RSE,0,2,3,5,1912
80,17,AUT,0,2,2,4,1912
81,18,NLD,0,0,3,3,1912
82,1,USA,41,27,27,95,1920
83,2,SWE,19,20,25,64,1920
84,3,FIN,15,10,9,34,1920
85,4,GBR,14,15,13,42,1920
86,5,BEL,14,11,11,36,1920
87,6,NOR,13,9,9,31,1920
88,7,ITA,13,5,5,23,1920
89,8,FRA,9,19,13,41,1920
90,9,NLD,4,2,5,11,1920
91,10,DNK,3,9,1,13,1920
92,11,ZAF,3,4,3,10,1920
93,12,CAN,3,3,3,9,1920
94,13,CHE,2,2,7,11,1920
95,14,EST,1,2,0,3,1920
96,15,BRA,1,1,1,3,1920
97,16,AUS,0,2,1,3,1920
98,17,JPN,0,2,0,2,1920
99,17,ESP,0,2,0,2,1920
100,19,GRC,0,1,0,1,1920
101,19,LUX,0,1,0,1,1920
102,21,CSK,0,0,2,2,1920
103,22,NZL,0,0,1,1,1920
104,1,USA,45,27,27,99,1924
105,2,FIN,14,13,10,37,1924
106,3,FRA,13,15,10,38,1924
107,4,GBR,9,13,12,34,1924
108,5,ITA,8,3,5,16,1924
109,6,CHE,7,8,10,25,1924
110,7,NOR,5,2,3,10,1924
111,8,SWE,4,13,12,29,1924
112,9,NLD,4,1,5,10,1924
113,10,BEL,3,7,3,13,1924
114,11,AUS,3,1,2,6,1924
115,12,DNK,2,5,2,9,1924
116,13,HUN,2,3,4,9,1924
117,14,YUG,2,0,0,2,1924
118,15,CSK,1,4,5,10,1924
119,16,ARG,1,3,2,6,1924
120,17,EST,1,1,4,6,1924
121,18,ZAF,1,1,1,3,1924
122,19,URY,1,0,0,1,1924
123,20,AUT,0,3,1,4,1924
124,20,CAN,0,3,1,4,1924
125,22,POL,0,1,1,2,1924
126,23,HTI,0,0,1,1,1924
127,23,JPN,0,0,1,1,1924
128,23,NZL,0,0,1,1,1924
129,23,PRT,0,0,1,1,1924
130,23,ROU,0,0,1,1,1924
131,1,USA,22,18,16,56,1928
132,2,DEU,10,7,14,31,1928
133,3,FIN,8,8,9,25,1928
134,4,SWE,7,6,12,25,1928
135,5,ITA,7,5,7,19,1928
136,6,CHE,7,4,4,15,1928
137,7,FRA,6,10,5,21,1928
138,8,NLD,6,9,4,19,1928
139,9,HUN,4,5,0,9,1928
140,10,CAN,4,4,7,15,1928
141,11,GBR,3,10,7,20,1928
142,12,ARG,3,3,1,7,1928
143,13,DNK,3,1,2,6,1928
144,14,CSK,2,5,2,9,1928
145,15,JPN,2,2,1,5,1928
146,16,EST,2,1,2,5,1928
147,17,EGY,2,1,1,4,1928
148,18,AUT,2,0,1,3,1928
149,19,AUS,1,2,1,4,1928
150,19,NOR,1,2,1,4,1928
151,21,POL,1,1,3,5,1928
152,21,YUG,1,1,3,5,1928
153,23,ZAF,1,0,2,3,1928
154,24,IND,1,0,0,1,1928
155,24,IRL,1,0,0,1,1928
156,24,NZL,1,0,0,1,1928
157,24,ESP,1,0,0,1,1928
158,24,URY,1,0,0,1,1928
159,29,BEL,0,1,2,3,1928
160,30,CHL,0,1,0,1,1928
161,30,HTI,0,1,0,1,1928
162,32,PHL,0,0,1,1,1928
163,32,PRT,0,0,1,1,1928
164,1,USA,44,36,30,110,1932
165,2,ITA,12,12,12,36,1932
166,3,FRA,11,5,4,20,1932
167,4,SWE,10,5,9,24,1932
168,5,JPN,7,7,4,18,1932
169,6,HUN,6,5,5,16,1932
170,7,DEU,5,12,7,24,1932
171,8,FIN,5,8,12,25,1932
172,9,GBR,5,7,5,17,1932
173,10,POL,3,2,4,9,1932
174,11,AUS,3,1,1,5,1932
175,12,ARG,3,1,0,4,1932
176,13,CAN,2,5,9,16,1932
177,14,NLD,2,5,1,8,1932
178,15,ZAF,2,0,3,5,1932
179,16,IRL,2,0,0,2,1932
180,17,CSK,1,3,2,6,1932
181,18,AUT,1,1,3,5,1932
182,19,IND,1,0,0,1,1932
183,20,DNK,0,5,3,8,1932
184,21,MEX,0,2,0,2,1932
185,22,LVA,0,1,0,1,1932
186,22,NZL,0,1,0,1,1932
187,22,CHE,0,1,0,1,1932
188,25,PHL,0,0,3,3,1932
189,26,BEL,0,0,1,1,1932
190,26,ESP,0,0,1,1,1932
191,26,URY,0,0,1,1,1932
192,1,DEU,38,31,32,101,1936
193,2,USA,24,21,12,57,1936
194,3,HUN,10,1,5,16,1936
195,4,ITA,9,13,5,27,1936
196,5,FIN,8,6,6,20,1936
197,6,FRA,7,6,6,19,1936
198,7,SWE,6,5,10,21,1936
199,8,JPN,6,4,10,20,1936
200,9,NLD,6,4,7,17,1936
201,10,AUT,5,7,5,17,1936
202,11,CHE,4,9,5,18,1936
203,12,GBR,4,7,3,14,1936
204,13,CSK,3,5,1,9,1936
205,14,ARG,2,2,3,7,1936
206,14,EST,2,2,3,7,1936
207,16,EGY,2,1,2,5,1936
208,17,CAN,1,3,5,9,1936
209,18,NOR,1,3,2,6,1936
210,19,TUR,1,0,1,2,1936
211,20,IND,1,0,0,1,1936
212,20,NZL,1,0,0,1,1936
213,22,POL,0,4,5,9,1936
214,23,DNK,0,2,3,5,1936
215,24,LVA,0,1,1,2,1936
216,25,ROU,0,1,0,1,1936
217,25,ZAF,0,1,0,1,1936
218,25,YUG,0,1,0,1,1936
219,28,BEL,0,0,3,3,1936
220,28,MEX,0,0,3,3,1936
221,30,AUS,0,0,1,1,1936
222,30,PHL,0,0,1,1,1936
223,30,PRT,0,0,1,1,1936
224,1,USA,38,27,19,84,1948
225,2,SWE,16,11,17,44,1948
226,3,FRA,10,6,13,29,1948
227,4,HUN,10,5,12,27,1948
228,5,ITA,8,11,8,27,1948
229,6,FIN,8,7,5,20,1948
230,7,TUR,6,4,2,12,1948
231,8,CSK,6,2,3,11,1948
232,9,CHE,5,10,5,20,1948
233,10,DNK,5,7,8,20,1948
234,11,NLD,5,2,9,16,1948
235,12,GBR,3,14,6,23,1948
236,13,ARG,3,3,1,7,1948
237,14,AUS,2,6,5,13,1948
238,15,BEL,2,2,3,7,1948
239,16,EGY,2,2,1,5,1948
240,17,MEX,2,1,2,5,1948
241,18,ZAF,2,1,1,4,1948
242,19,NOR,1,3,3,7,1948
243,20,JAM,1,2,0,3,1948
244,21,AUT,1,0,3,4,1948
245,22,IND,1,0,0,1,1948
246,22,PER,1,0,0,1,1948
247,24,YUG,0,2,0,2,1948
248,25,CAN,0,1,2,3,1948
249,26,PRT,0,1,1,2,1948
250,26,URY,0,1,1,2,1948
251,28,CEY,0,1,0,1,1948
252,28,CUB,0,1,0,1,1948
253,28,ESP,0,1,0,1,1948
254,28,TTO,0,1,0,1,1948
255,32,PAN,0,0,2,2,1948
256,32,KOR,0,0,2,2,1948
257,34,BRA,0,0,1,1,1948
258,34,IRN,0,0,1,1,1948
259,34,POL,0,0,1,1,1948
260,34,PRI,0,0,1,1,1948
261,1,USA,40,19,17,76,1952
262,2,SUN,22,30,19,71,1952
263,3,HUN,16,10,16,42,1952
264,4,SWE,12,13,10,35,1952
265,5,ITA,8,9,4,21,1952
266,6,CSK,7,3,3,13,1952
267,7,FRA,6,6,6,18,1952
268,8,FIN,6,3,13,22,1952
269,9,AUS,6,2,3,11,1952
270,10,NOR,3,2,0,5,1952
271,11,CHE,2,6,6,14,1952
272,12,ZAF,2,4,4,10,1952
273,13,JAM,2,3,0,5,1952
274,14,BEL,2,2,0,4,1952
275,15,DNK,2,1,3,6,1952
276,16,TUR,2,0,1,3,1952
277,17,JPN,1,6,2,9,1952
278,18,GBR,1,2,8,11,1952
279,19,ARG,1,2,2,5,1952
280,20,POL,1,2,1,4,1952
281,21,CAN,1,2,0,3,1952
282,21,YUG,1,2,0,3,1952
283,23,ROU,1,1,2,4,1952
284,24,BRA,1,0,2,3,1952
285,24,NZL,1,0,2,3,1952
286,26,IND,1,0,1,2,1952
287,27,LUX,1,0,0,1,1952
288,28,DEU,0,7,17,24,1952
289,29,NLD,0,5,0,5,1952
290,30,IRN,0,3,4,7,1952
291,31,CHL,0,2,0,2,1952
292,32,AUT,0,1,1,2,1952
293,32,LBN,0,1,1,2,1952
294,34,IRL,0,1,0,1,1952
295,34,MEX,0,1,0,1,1952
296,34,ESP,0,1,0,1,1952
297,37,KOR,0,0,2,2,1952
298,37,TTO,0,0,2,2,1952
299,37,URY,0,0,2,2,1952
300,40,BGR,0,0,1,1,1952
301,40,EGY,0,0,1,1,1952
302,40,PRT,0,0,1,1,1952
303,40,VEN,0,0,1,1,1952
304,1,SUN,37,29,32,98,1956
305,2,USA,32,25,17,74,1956
306,3,AUS,13,8,14,35,1956
307,4,HUN,9,10,7,26,1956
308,5,ITA,8,8,9,25,1956
309,6,SWE,8,5,6,19,1956
310,7,DEU,6,13,7,26,1956
311,8,GBR,6,7,11,24,1956
312,9,ROU,5,3,5,13,1956
313,10,JPN,4,10,5,19,1956
314,11,FRA,4,4,6,14,1956
315,12,TUR,3,2,2,7,1956
316,13,FIN,3,1,11,15,1956
317,14,IRN,2,2,1,5,1956
318,15,CAN,2,1,3,6,1956
319,16,NZL,2,0,0,2,1956
320,17,POL,1,4,4,9,1956
321,18,CSK,1,4,1,6,1956
322,19,BGR,1,3,1,5,1956
323,20,DNK,1,2,1,4,1956
324,21,IRL,1,1,3,5,1956
325,22,NOR,1,0,2,3,1956
326,23,MEX,1,0,1,2,1956
327,24,BRA,1,0,0,1,1956
328,24,IND,1,0,0,1,1956
329,26,YUG,0,3,0,3,1956
330,27,CHL,0,2,2,4,1956
331,28,BEL,0,2,0,2,1956
332,29,ARG,0,1,1,2,1956
333,29,KOR,0,1,1,2,1956
334,31,ISL,0,1,0,1,1956
335,31,PAK,0,1,0,1,1956
336,33,ZAF,0,0,4,4,1956
337,34,AUT,0,0,2,2,1956
338,35,BHS,0,0,1,1,1956
339,35,GRC,0,0,1,1,1956
340,35,CHE,0,0,1,1,1956
341,35,URY,0,0,1,1,1956
342,1,SUN,43,29,31,103,1960
343,2,USA,34,21,16,71,1960
344,3,ITA,13,10,13,36,1960
345,4,DEU,12,19,11,42,1960
346,5,AUS,8,8,6,22,1960
347,6,TUR,7,2,0,9,1960
348,7,HUN,6,8,7,21,1960
349,8,JPN,4,7,7,18,1960
350,9,POL,4,6,11,21,1960
351,10,CSK,3,2,3,8,1960
352,11,ROU,3,1,6,10,1960
353,12,GBR,2,6,12,20,1960
354,13,DNK,2,3,1,6,1960
355,14,NZL,2,0,1,3,1960
356,15,BGR,1,3,3,7,1960
357,16,SWE,1,2,3,6,1960
358,17,FIN,1,1,3,5,1960
359,18,AUT,1,1,0,2,1960
360,18,YUG,1,1,0,2,1960
361,20,PAK,1,0,1,2,1960
362,21,ETH,1,0,0,1,1960
363,21,GRC,1,0,0,1,1960
364,21,NOR,1,0,0,1,1960
365,24,CHE,0,3,3,6,1960
366,25,FRA,0,2,3,5,1960
367,26,BEL,0,2,2,4,1960
368,27,IRN,0,1,3,4,1960
369,28,NLD,0,1,2,3,1960
370,28,ZAF,0,1,2,3,1960
371,30,ARG,0,1,1,2,1960
372,30,EGY,0,1,1,2,1960
373,32,CAN,0,1,0,1,1960
374,32,TWN,0,1,0,1,1960
375,32,GHA,0,1,0,1,1960
376,32,IND,0,1,0,1,1960
377,32,MAR,0,1,0,1,1960
378,32,PRT,0,1,0,1,1960
379,32,SGP,0,1,0,1,1960
380,39,BRA,0,0,2,2,1960
381,39,IND,0,0,2,2,1960
382,41,IRQ,0,0,1,1,1960
383,41,MEX,0,0,1,1,1960
384,41,ESP,0,0,1,1,1960
385,41,VEN,0,0,1,1,1960
386,1,USA,36,26,28,90,1964
387,2,SUN,30,31,35,96,1964
388,3,JPN,16,5,8,29,1964
389,4,DEU,10,22,18,50,1964
390,5,ITA,10,10,7,27,1964
391,6,HUN,10,7,5,22,1964
392,7,POL,7,6,10,23,1964
393,8,AUS,6,2,10,18,1964
394,9,CSK,5,6,3,14,1964
395,10,GBR,4,12,2,18,1964
396,11,BGR,3,5,2,10,1964
397,12,FIN,3,0,2,5,1964
398,12,NZL,3,0,2,5,1964
399,14,ROU,2,4,6,12,1964
400,15,NLD,2,4,4,10,1964
401,16,TUR,2,3,1,6,1964
402,17,SWE,2,2,4,8,1964
403,18,DNK,2,1,3,6,1964
404,19,YUG,2,1,2,5,1964
405,20,BEL,2,0,1,3,1964
406,21,FRA,1,8,6,15,1964
407,22,CAN,1,2,1,4,1964
408,22,CHE,1,2,1,4,1964
409,24,BHS,1,0,0,1,1964
410,24,ETH,1,0,0,1,1964
411,24,IND,1,0,0,1,1964
412,27,KOR,0,2,1,3,1964
413,28,TTO,0,1,2,3,1964
414,29,TUN,0,1,1,2,1964
415,30,ARG,0,1,0,1,1964
416,30,CUB,0,1,0,1,1964
417,30,PAK,0,1,0,1,1964
418,30,PHL,0,1,0,1,1964
419,34,IRN,0,0,2,2,1964
420,35,BRA,0,0,1,1,1964
421,35,GHA,0,0,1,1,1964
422,35,IRL,0,0,1,1,1964
423,35,KEN,0,0,1,1,1964
424,35,MEX,0,0,1,1,1964
425,35,NGA,0,0,1,1,1964
426,35,URY,0,0,1,1,1964
427,1,USA,45,28,34,107,1968
428,2,SUN,29,32,30,91,1968
429,3,JPN,11,7,7,25,1968
430,4,HUN,10,10,12,32,1968
431,5,DDR,9,9,7,25,1968
432,6,FRA,7,3,5,15,1968
433,7,CSK,7,2,4,13,1968
434,8,DEU,5,11,10,26,1968
435,9,AUS,5,7,5,17,1968
436,10,GBR,5,5,3,13,1968
437,11,POL,5,2,11,18,1968
438,12,ROU,4,6,5,15,1968
439,13,ITA,3,4,9,16,1968
440,14,KEN,3,4,2,9,1968
441,15,MEX,3,3,3,9,1968
442,16,YUG,3,3,2,8,1968
443,17,NLD,3,3,1,7,1968
444,18,BGR,2,4,3,9,1968
445,19,IRN,2,1,2,5,1968
446,20,SWE,2,1,1,4,1968
447,21,TUR,2,0,0,2,1968
448,22,DNK,1,4,3,8,1968
449,23,CAN,1,3,1,5,1968
450,24,FIN,1,2,1,4,1968
451,25,ETH,1,1,0,2,1968
452,25,NOR,1,1,0,2,1968
453,27,NZL,1,0,2,3,1968
454,28,TUN,1,0,1,2,1968
455,29,PAK,1,0,0,1,1968
456,29,VEN,1,0,0,1,1968
457,31,CUB,0,4,0,4,1968
458,32,AUT,0,2,2,4,1968
459,33,CHE,0,1,4,5,1968
460,34,MNG,0,1,3,4,1968
461,35,BRA,0,1,2,3,1968
462,36,BEL,0,1,1,2,1968
463,36,KOR,0,1,1,2,1968
464,36,UGA,0,1,1,2,1968
465,39,CMR,0,1,0,1,1968
466,39,JAM,0,1,0,1,1968
467,41,ARG,0,0,2,2,1968
468,42,GRC,0,0,1,1,1968
469,42,IND,0,0,1,1,1968
470,42,TWN,0,0,1,1,1968
471,1,SUN,50,27,22,99,1972
472,2,USA,33,31,30,94,1972
473,3,DDR,20,23,23,66,1972
474,4,DEU,13,11,16,40,1972
475,5,JPN,13,8,8,29,1972
476,6,AUS,8,7,2,17,1972
477,7,POL,7,5,9,21,1972
478,8,HUN,6,13,16,35,1972
479,9,BGR,6,10,5,21,1972
480,10,ITA,5,3,10,18,1972
481,11,SWE,4,6,6,16,1972
482,12,GBR,4,5,9,18,1972
483,13,ROU,3,6,7,16,1972
484,14,CUB,3,1,4,8,1972
485,14,FIN,3,1,4,8,1972
486,16,NLD,3,1,1,5,1972
487,17,FRA,2,4,7,13,1972
488,18,CSK,2,4,2,8,1972
489,19,KEN,2,3,4,9,1972
490,20,YUG,2,1,2,5,1972
491,21,NOR,2,1,1,4,1972
492,22,PRK,1,1,3,5,1972
493,23,NZL,1,1,1,3,1972
494,24,UGA,1,1,0,2,1972
495,25,DNK,1,0,0,1,1972
496,26,CHE,0,3,0,3,1972
497,27,CAN,0,2,3,5,1972
498,28,IRN,0,2,1,3,1972
499,29,BEL,0,2,0,2,1972
500,29,GRC,0,2,0,2,1972
501,31,AUT,0,1,2,3,1972
502,31,COL,0,1,2,3,1972
503,33,ARG,0,1,0,1,1972
504,33,LBN,0,1,0,1,1972
505,33,MEX,0,1,0,1,1972
506,33,MNG,0,1,0,1,1972
507,33,PAK,0,1,0,1,1972
508,33,KOR,0,1,0,1,1972
509,33,TUN,0,1,0,1,1972
510,33,TUR,0,1,0,1,1972
511,41,BRA,0,0,2,2,1972
512,41,ETH,0,0,2,2,1972
513,43,GHA,0,0,1,1,1972
514,43,IND,0,0,1,1,1972
515,43,JAM,0,0,1,1,1972
516,43,NER,0,0,1,1,1972
517,43,NGA,0,0,1,1,1972
518,43,ESP,0,0,1,1,1972
519,1,SUN,49,41,35,125,1976
520,2,DDR,40,25,25,90,1976
521,3,USA,34,35,25,94,1976
522,4,DEU,10,12,17,39,1976
523,5,JPN,9,6,10,25,1976
524,6,POL,7,6,13,26,1976
525,7,BGR,6,9,7,22,1976
526,8,CUB,6,4,3,13,1976
527,9,ROU,4,9,14,27,1976
528,10,HUN,4,5,13,22,1976
529,11,FIN,4,2,0,6,1976
530,12,SWE,4,1,0,5,1976
531,13,GBR,3,5,5,13,1976
532,14,ITA,2,7,4,13,1976
533,15,FRA,2,3,4,9,1976
534,16,YUG,2,3,3,8,1976
535,17,CSK,2,2,4,8,1976
536,18,NZL,2,1,1,4,1976
537,19,KOR,1,1,4,6,1976
538,20,CHE,1,1,2,4,1976
539,21,JAM,1,1,0,2,1976
540,21,PRK,1,1,0,2,1976
541,21,NOR,1,1,0,2,1976
542,24,DNK,1,0,2,3,1976
543,25,MEX,1,0,1,2,1976
544,26,TTO,1,0,0,1,1976
545,27,CAN,0,5,6,11,1976
546,28,BEL,0,3,3,6,1976
547,29,NLD,0,2,3,5,1976
548,30,PRT,0,2,0,2,1976
549,30,ESP,0,2,0,2,1976
550,32,AUS,0,1,4,5,1976
551,33,IRN,0,1,1,2,1976
552,34,MNG,0,1,0,1,1976
553,34,VEN,0,1,0,1,1976
554,36,BRA,0,0,2,2,1976
555,37,AUT,0,0,1,1,1976
556,37,BMU,0,0,1,1,1976
557,37,PAK,0,0,1,1,1976
558,37,PRI,0,0,1,1,1976
559,37,THA,0,0,1,1,1976
560,1,SUN,80,69,46,195,1980
561,2,DDR,47,37,42,126,1980
562,3,BGR,8,16,17,41,1980
563,4,CUB,8,7,5,20,1980
564,5,ITA,8,3,4,15,1980
565,6,HUN,7,10,15,32,1980
566,7,ROU,6,6,13,25,1980
567,8,FRA,6,5,3,14,1980
568,9,GBR,5,7,9,21,1980
569,10,POL,3,14,15,32,1980
570,11,SWE,3,3,6,12,1980
571,12,FIN,3,1,4,8,1980
572,13,CSK,2,3,9,14,1980
573,14,YUG,2,3,4,9,1980
574,15,AUS,2,2,5,9,1980
575,16,DNK,2,1,2,5,1980
576,17,BRA,2,0,2,4,1980
577,17,ETH,2,0,2,4,1980
578,19,CHE,2,0,0,2,1980
579,20,ESP,1,3,2,6,1980
580,21,AUT,1,2,1,4,1980
581,22,GRC,1,0,2,3,1980
582,23,BEL,1,0,0,1,1980
583,23,IND,1,0,0,1,1980
584,23,ZWE,1,0,0,1,1980
585,26,PRK,0,3,2,5,1980
586,27,MNG,0,2,2,4,1980
587,28,TZA,0,2,0,2,1980
588,29,MEX,0,1,3,4,1980
589,30,NLD,0,1,2,3,1980
590,31,IRL,0,1,1,2,1980
591,32,UGA,0,1,0,1,1980
592,32,VEN,0,1,0,1,1980
593,34,JAM,0,0,3,3,1980
594,35,GUY,0,0,1,1,1980
595,35,LBN,0,0,1,1,1980
596,1,USA,83,61,30,174,1984
597,2,ROU,20,16,17,53,1984
598,3,DEU,17,19,23,59,1984
599,4,CHN,15,8,9,32,1984
600,5,ITA,14,6,12,32,1984
601,6,CAN,10,18,16,44,1984
602,7,JPN,10,8,14,32,1984
603,8,NZL,8,1,2,11,1984
604,9,YUG,7,4,7,18,1984
605,10,KOR,6,6,7,19,1984
606,11,GBR,5,11,21,37,1984
607,12,FRA,5,7,16,28,1984
608,13,NLD,5,2,6,13,1984
609,14,AUS,4,8,12,24,1984
610,15,FIN,4,2,6,12,1984
611,16,SWE,2,11,6,19,1984
612,17,MEX,2,3,1,6,1984
613,18,MAR,2,0,0,2,1984
614,19,BRA,1,5,2,8,1984
615,20,ESP,1,2,2,5,1984
616,21,BEL,1,1,2,4,1984
617,22,AUT,1,1,1,3,1984
618,23,KEN,1,0,2,3,1984
619,23,PRT,1,0,2,3,1984
620,25,PAK,1,0,0,1,1984
621,26,CHE,0,4,4,8,1984
622,27,DNK,0,3,3,6,1984
623,28,JAM,0,1,2,3,1984
624,28,NOR,0,1,2,3,1984
625,30,GRC,0,1,1,2,1984
626,30,NGA,0,1,1,2,1984
627,30,PRI,0,1,1,2,1984
628,33,COL,0,1,0,1,1984
629,33,EGY,0,1,0,1,1984
630,33,IRL,0,1,0,1,1984
631,33,CIV,0,1,0,1,1984
632,33,PER,0,1,0,1,1984
633,33,SYR,0,1,0,1,1984
634,33,THA,0,1,0,1,1984
635,40,TUR,0,0,3,3,1984
636,40,VEN,0,0,3,3,1984
637,42,DZA,0,0,2,2,1984
638,43,CMR,0,0,1,1,1984
639,43,TWN,0,0,1,1,1984
640,43,DOM,0,0,1,1,1984
641,43,ISL,0,0,1,1,1984
642,43,ZMB,0,0,1,1,1984
643,1,SUN,55,31,46,132,1988
644,2,DDR,37,35,30,102,1988
645,3,USA,36,31,27,94,1988
646,4,KOR,12,10,11,33,1988
647,5,DEU,11,14,15,40,1988
648,6,HUN,11,6,6,23,1988
649,7,BGR,10,12,13,35,1988
650,8,ROU,7,11,6,24,1988
651,9,FRA,6,4,6,16,1988
652,10,ITA,6,4,4,14,1988
653,11,CHN,5,11,12,28,1988
654,12,GBR,5,10,9,24,1988
655,13,KEN,5,2,2,9,1988
656,14,JPN,4,3,7,14,1988
657,15,AUS,3,6,5,14,1988
658,16,YUG,3,4,5,12,1988
659,17,CSK,3,3,2,8,1988
660,18,NZL,3,2,8,13,1988
661,19,CAN,3,2,5,10,1988
662,20,POL,2,5,9,16,1988
663,21,NOR,2,3,0,5,1988
664,22,NLD,2,2,5,9,1988
665,23,DNK,2,1,1,4,1988
666,24,BRA,1,2,3,6,1988
667,25,FIN,1,1,2,4,1988
668,25,ESP,1,1,2,4,1988
669,27,TUR,1,1,0,2,1988
670,28,MAR,1,0,2,3,1988
671,29,AUT,1,0,0,1,1988
672,29,PRT,1,0,0,1,1988
673,29,SUR,1,0,0,1,1988
674,32,SWE,0,4,7,11,1988
675,33,CHE,0,2,2,4,1988
676,34,JAM,0,2,0,2,1988
677,35,ARG,0,1,1,2,1988
678,36,CHL,0,1,0,1,1988
679,36,CRI,0,1,0,1,1988
680,36,IDN,0,1,0,1,1988
681,36,IRN,0,1,0,1,1988
682,36,ANT,0,1,0,1,1988
683,36,PER,0,1,0,1,1988
684,36,SEN,0,1,0,1,1988
685,36,VGB,0,1,0,1,1988
686,44,BEL,0,0,2,2,1988
687,44,MEX,0,0,2,2,1988
688,46,COL,0,0,1,1,1988
689,46,DJI,0,0,1,1,1988
690,46,GRC,0,0,1,1,1988
691,46,MNG,0,0,1,1,1988
692,46,PAK,0,0,1,1,1988
693,46,PHL,0,0,1,1,1988
694,46,THA,0,0,1,1,1988
695,2,USA,37,34,37,108,1992
696,3,DEU,33,21,28,82,1992
697,4,CHN,16,22,16,54,1992
698,5,CUB,14,6,11,31,1992
699,6,ESP,13,7,2,22,1992
700,7,KOR,12,5,12,29,1992
701,8,HUN,11,12,7,30,1992
702,9,FRA,8,5,16,29,1992
703,10,AUS,7,9,11,27,1992
704,11,CAN,7,4,7,18,1992
705,12,ITA,6,5,8,19,1992
706,13,GBR,5,3,12,20,1992
707,14,ROU,4,6,8,18,1992
708,15,CSK,4,2,1,7,1992
709,16,PRK,4,0,5,9,1992
710,17,JPN,3,8,11,22,1992
711,18,BGR,3,7,6,16,1992
712,19,POL,3,6,10,19,1992
713,20,NLD,2,6,7,15,1992
714,21,KEN,2,4,2,8,1992
715,22,NOR,2,4,1,7,1992
716,23,TUR,2,2,2,6,1992
717,24,IDN,2,2,1,5,1992
718,25,BRA,2,1,0,3,1992
719,26,GRC,2,0,0,2,1992
720,27,SWE,1,7,4,12,1992
721,28,NZL,1,4,5,10,1992
722,29,FIN,1,2,2,5,1992
723,30,DNK,1,1,4,6,1992
724,31,MAR,1,1,1,3,1992
725,32,IRL,1,1,0,2,1992
726,33,ETH,1,0,2,3,1992
727,34,DZA,1,0,1,2,1992
728,34,EST,1,0,1,2,1992
729,34,LTU,1,0,1,2,1992
730,37,CHE,1,0,0,1,1992
731,38,JAM,0,3,1,4,1992
732,38,NGA,0,3,1,4,1992
733,40,LVA,0,2,1,3,1992
734,41,AUT,0,2,0,2,1992
735,41,NAM,0,2,0,2,1992
