,Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants
93,93,12,CAN,3,3,3,9,1920,1.0
94,94,13,CHE,2,2,7,11,1920,1.0
95,95,14,EST,1,2,0,3,1920,1.0
96,96,15,BRA,1,1,1,3,1920,109.0
97,97,16,AUS,0,2,1,3,1920,98.0
98,98,17,JPN,0,2,0,2,1920,47.0
99,99,17,ESP,0,2,0,2,1920,68.0
100,100,19,GRC,0,1,0,1,1920,295.0
101,101,19,LUX,0,1,0,1,1920,174.0
103,103,22,NZL,0,0,1,1,1920,116.0
104,104,1,USA,45,27,27,99,1924,148.0
105,105,2,FIN,14,13,10,37,1924,132.0
106,106,3,FRA,13,15,10,38,1924,123.0
107,107,4,GBR,9,13,12,34,1924,106.0
108,108,5,ITA,8,3,5,16,1924,115.0
109,109,6,CHE,7,8,10,25,1924,134.0
110,110,7,NOR,5,2,3,10,1924,111.0
111,111,8,SWE,4,13,12,29,1924,221.0
112,112,9,NLD,4,1,5,10,1924,165.0
113,113,10,BEL,3,7,3,13,1924,179.0
114,114,11,AUS,3,1,2,6,1924,145.0
115,115,12,DNK,2,5,2,9,1924,148.0
116,116,13,HUN,2,3,4,9,1924,232.0
117,117,14,YUG,2,0,0,2,1924,208.0
119,119,16,ARG,1,3,2,6,1924,38.0
120,120,17,EST,1,1,4,6,1924,26.0
121,121,18,ZAF,1,1,1,3,1924,19.0
122,122,19,URY,1,0,0,1,1924,26.0
123,123,20,AUT,0,3,1,4,1924,31.0
124,124,20,CAN,0,3,1,4,1924,34.0
125,125,22,POL,0,1,1,2,1924,19.0
126,126,23,HTI,0,0,1,1,1924,17.0
127,127,23,JPN,0,0,1,1,1924,12.0
128,128,23,NZL,0,0,1,1,1924,5.0
129,129,23,PRT,0,0,1,1,1924,3.0
130,130,23,ROU,0,0,1,1,1924,5.0
131,131,1,USA,22,18,16,56,1928,4.0
132,132,2,DEU,10,7,14,31,1928,2.0
133,133,3,FIN,8,8,9,25,1928,4.0
134,134,4,SWE,7,6,12,25,1928,7.0
135,135,5,ITA,7,5,7,19,1928,4.0
136,136,6,CHE,7,4,4,15,1928,7.0
137,137,7,FRA,6,10,5,21,1928,6.0
138,138,8,NLD,6,9,4,19,1928,3.0
139,139,9,HUN,4,5,0,9,1928,7.0
140,140,10,CAN,4,4,7,15,1928,4.0
141,141,11,GBR,3,10,7,20,1928,3.0
142,142,12,ARG,3,3,1,7,1928,4.0
143,143,13,DNK,3,1,2,6,1928,4.0
145,145,15,JPN,2,2,1,5,1928,6.0
146,146,16,EST,2,1,2,5,1928,2.0
147,147,17,EGY,2,1,1,4,1928,5.0
148,148,18,AUT,2,0,1,3,1928,6.0
149,149,19,AUS,1,2,1,4,1928,6.0
150,150,19,NOR,1,2,1,4,1928,10.0
151,151,21,POL,1,1,3,5,1928,29.0
152,152,21,YUG,1,1,3,5,1928,60.0
153,153,23,ZAF,1,0,2,3,1928,29.0
154,154,24,IND,1,0,0,1,1928,20.0
155,155,24,IRL,1,0,0,1,1928,39.0
156,156,24,NZL,1,0,0,1,1928,103.0
157,157,24,ESP,1,0,0,1,1928,140.0
158,158,24,URY,1,0,0,1,1928,412.0
159,159,29,BEL,0,1,2,3,1928,280.0
160,160,30,CHL,0,1,0,1,1928,392.0
161,161,30,HTI,0,1,0,1,1928,224.0
162,162,32,PHL,0,0,1,1,1928,266.0
163,163,32,PRT,0,0,1,1,1928,274.0
164,164,1,USA,44,36,30,110,1932,190.0
165,165,2,ITA,12,12,12,36,1932,337.0
166,166,3,FRA,11,5,4,20,1932,339.0
167,167,4,SWE,10,5,9,24,1932,390.0
168,168,5,JPN,7,7,4,18,1932,550.0
169,169,6,HUN,6,5,5,16,1932,788.0
170,170,7,DEU,5,12,7,24,1932,601.0
171,171,8,FIN,5,8,12,25,1932,570.0
172,172,9,GBR,5,7,5,17,1932,514.0
173,173,10,POL,3,2,4,9,1932,518.0
174,174,11,AUS,3,1,1,5,1932,638.0
175,175,12,ARG,3,1,0,4,1932,649.0
176,176,13,CAN,2,5,9,16,1932,8.0
177,177,14,NLD,2,5,1,8,1932,26.0
178,178,15,ZAF,2,0,3,5,1932,7.0
179,179,16,IRL,2,0,0,2,1932,100.0
181,181,18,AUT,1,1,3,5,1932,132.0
182,182,19,IND,1,0,0,1,1932,56.0
183,183,20,DNK,0,5,3,8,1932,113.0
184,184,21,MEX,0,2,0,2,1932,33.0
185,185,22,LVA,0,1,0,1,1932,363.0
186,186,22,NZL,0,1,0,1,1932,239.0
187,187,22,CHE,0,1,0,1,1932,238.0
188,188,25,PHL,0,0,3,3,1932,57.0
189,189,26,BEL,0,0,1,1,1932,198.0
190,190,26,ESP,0,0,1,1,1932,82.0
191,191,26,URY,0,0,1,1,1932,59.0
192,192,1,DEU,38,31,32,101,1936,143.0
193,193,2,USA,24,21,12,57,1936,73.0
194,194,3,HUN,10,1,5,16,1936,92.0
195,195,4,ITA,9,13,5,27,1936,130.0
196,196,5,FIN,8,6,6,20,1936,96.0
197,197,6,FRA,7,6,6,19,1936,127.0
198,198,7,SWE,6,5,10,21,1936,92.0
199,199,8,JPN,6,4,10,20,1936,114.0
200,200,9,NLD,6,4,7,17,1936,92.0
201,201,10,AUT,5,7,5,17,1936,93.0
202,202,11,CHE,4,9,5,18,1936,90.0
203,203,12,GBR,4,7,3,14,1936,85.0
205,205,14,ARG,2,2,3,7,1936,121.0
206,206,14,EST,2,2,3,7,1936,24.0
207,207,16,EGY,2,1,2,5,1936,32.0
208,208,17,CAN,1,3,5,9,1936,37.0
209,209,18,NOR,1,3,2,6,1936,44.0
210,210,19,TUR,1,0,1,2,1936,59.0
211,211,20,IND,1,0,0,1,1936,69.0
212,212,20,NZL,1,0,0,1,1936,55.0
213,213,22,POL,0,4,5,9,1936,49.0
214,214,23,DNK,0,2,3,5,1936,7.0
215,215,24,LVA,0,1,1,2,1936,5.0
216,216,25,ROU,0,1,0,1,1936,14.0
217,217,25,ZAF,0,1,0,1,1936,12.0
218,218,25,YUG,0,1,0,1,1936,22.0
219,219,28,BEL,0,0,3,3,1936,25.0
220,220,28,MEX,0,0,3,3,1936,19.0
221,221,30,AUS,0,0,1,1,1936,31.0
222,222,30,PHL,0,0,1,1,1936,18.0
223,223,30,PRT,0,0,1,1,1936,18.0
224,224,1,USA,38,27,19,84,1948,36.0
225,225,2,SWE,16,11,17,44,1948,39.0
226,226,3,FRA,10,6,13,29,1948,28.0
227,227,4,HUN,10,5,12,27,1948,33.0
228,228,5,ITA,8,11,8,27,1948,29.0
229,229,6,FIN,8,7,5,20,1948,38.0
230,230,7,TUR,6,4,2,12,1948,22.0
232,232,9,CHE,5,10,5,20,1948,2.0
233,233,10,DNK,5,7,8,20,1948,11.0
234,234,11,NLD,5,2,9,16,1948,9.0
235,235,12,GBR,3,14,6,23,1948,4.0
236,236,13,ARG,3,3,1,7,1948,6.0
237,237,14,AUS,2,6,5,13,1948,4.0
238,238,15,BEL,2,2,3,7,1948,5.0
239,239,16,EGY,2,2,1,5,1948,7.0
240,240,17,MEX,2,1,2,5,1948,7.0
241,241,18,ZAF,2,1,1,4,1948,8.0
242,242,19,NOR,1,3,3,7,1948,5.0
243,243,20,JAM,1,2,0,3,1948,13.0
244,244,21,AUT,1,0,3,4,1948,20.0
245,245,22,IND,1,0,0,1,1948,17.0
246,246,22,PER,1,0,0,1,1948,25.0
247,247,24,YUG,0,2,0,2,1948,26.0
248,248,25,CAN,0,1,2,3,1948,22.0
249,249,26,PRT,0,1,1,2,1948,22.0
250,250,26,URY,0,1,1,2,1948,28.0
252,252,28,CUB,0,1,0,1,1948,10.0
253,253,28,ESP,0,1,0,1,1948,8.0
254,254,28,TTO,0,1,0,1,1948,13.0
255,255,32,PAN,0,0,2,2,1948,9.0
256,256,32,KOR,0,0,2,2,1948,4.0
257,257,34,BRA,0,0,1,1,1948,7.0
258,258,34,IRN,0,0,1,1,1948,6.0
259,259,34,POL,0,0,1,1,1948,7.0
260,260,34,PRI,0,0,1,1,1948,3.0
261,261,1,USA,40,19,17,76,1952,6.0
263,263,3,HUN,16,10,16,42,1952,7.0
264,264,4,SWE,12,13,10,35,1952,8.0
265,265,5,ITA,8,9,4,21,1952,100.0
267,267,7,FRA,6,6,6,18,1952,99.0
268,268,8,FIN,6,3,13,22,1952,72.0
269,269,9,AUS,6,2,3,11,1952,518.0
270,270,10,NOR,3,2,0,5,1952,234.0
271,271,11,CHE,2,6,6,14,1952,260.0
272,272,12,ZAF,2,4,4,10,1952,69.0
273,273,13,JAM,2,3,0,5,1952,205.0
274,274,14,BEL,2,2,0,4,1952,182.0
275,275,15,DNK,2,1,3,6,1952,184.0
276,276,16,TUR,2,0,1,3,1952,82.0
277,277,17,JPN,1,6,2,9,1952,150.0
278,278,18,GBR,1,2,8,11,1952,74.0
279,279,19,ARG,1,2,2,5,1952,106.0
280,280,20,POL,1,2,1,4,1952,106.0
281,281,21,CAN,1,2,0,3,1952,149.0
282,282,21,YUG,1,2,0,3,1952,84.0
283,283,23,ROU,1,1,2,4,1952,86.0
284,284,24,BRA,1,0,2,3,1952,85.0
285,285,24,NZL,1,0,2,3,1952,103.0
286,286,26,IND,1,0,1,2,1952,81.0
287,287,27,LUX,1,0,0,1,1952,94.0
288,288,28,DEU,0,7,17,24,1952,70.0
289,289,29,NLD,0,5,0,5,1952,112.0
290,290,30,IRN,0,3,4,7,1952,142.0
291,291,31,CHL,0,2,0,2,1952,138.0
292,292,32,AUT,0,1,1,2,1952,185.0
293,293,32,LBN,0,1,1,2,1952,240.0
294,294,34,IRL,0,1,0,1,1952,3.0
295,295,34,MEX,0,1,0,1,1952,17.0
296,296,34,ESP,0,1,0,1,1952,3.0
297,297,37,KOR,0,0,2,2,1952,10.0
298,298,37,TTO,0,0,2,2,1952,7.0
299,299,37,URY,0,0,2,2,1952,7.0
300,300,40,BGR,0,0,1,1,1952,4.0
301,301,40,EGY,0,0,1,1,1952,4.0
302,302,40,PRT,0,0,1,1,1952,5.0
303,303,40,VEN,0,0,1,1,1952,5.0
305,305,2,USA,32,25,17,74,1956,7.0
306,306,3,AUS,13,8,14,35,1956,5.0
307,307,4,HUN,9,10,7,26,1956,9.0
308,308,5,ITA,8,8,9,25,1956,28.0
309,309,6,SWE,8,5,6,19,1956,12.0
310,310,7,DEU,6,13,7,26,1956,3.0
311,311,8,GBR,6,7,11,24,1956,9.0
312,312,9,ROU,5,3,5,13,1956,4.0
313,313,10,JPN,4,10,5,19,1956,6.0
314,314,11,FRA,4,4,6,14,1956,9.0
315,315,12,TUR,3,2,2,7,1956,20.0
316,316,13,FIN,3,1,11,15,1956,13.0
317,317,14,IRN,2,2,1,5,1956,14.0
318,318,15,CAN,2,1,3,6,1956,29.0
319,319,16,NZL,2,0,0,2,1956,10.0
320,320,17,POL,1,4,4,9,1956,7.0
322,322,19,BGR,1,3,1,5,1956,6.0
323,323,20,DNK,1,2,1,4,1956,8.0
324,324,21,IRL,1,1,3,5,1956,8.0
325,325,22,NOR,1,0,2,3,1956,2.0
326,326,23,MEX,1,0,1,2,1956,8.0
327,327,24,BRA,1,0,0,1,1956,6.0
328,328,24,IND,1,0,0,1,1956,6.0
329,329,26,YUG,0,3,0,3,1956,12.0
330,330,27,CHL,0,2,2,4,1956,2.0
331,331,28,BEL,0,2,0,2,1956,2.0
332,332,29,ARG,0,1,1,2,1956,2.0
333,333,29,KOR,0,1,1,2,1956,2.0
334,334,31,ISL,0,1,0,1,1956,2.0
335,335,31,PAK,0,1,0,1,1956,2.0
336,336,33,ZAF,0,0,4,4,1956,4.0
337,337,34,AUT,0,0,2,2,1956,3.0
338,338,35,BHS,0,0,1,1,1956,13.0
339,339,35,GRC,0,0,1,1,1956,12.0
340,340,35,CHE,0,0,1,1,1956,11.0
341,341,35,URY,0,0,1,1,1956,11.0
343,343,2,USA,34,21,16,71,1960,8.0
344,344,3,ITA,13,10,13,36,1960,11.0
345,345,4,DEU,12,19,11,42,1960,8.0
346,346,5,AUS,8,8,6,22,1960,6.0
347,347,6,TUR,7,2,0,9,1960,7.0
348,348,7,HUN,6,8,7,21,1960,2.0
349,349,8,JPN,4,7,7,18,1960,4.0
350,350,9,POL,4,6,11,21,1960,13.0
352,352,11,ROU,3,1,6,10,1960,18.0
353,353,12,GBR,2,6,12,20,1960,5.0
354,354,13,DNK,2,3,1,6,1960,2.0
355,355,14,NZL,2,0,1,3,1960,2.0
356,356,15,BGR,1,3,3,7,1960,4.0
357,357,16,SWE,1,2,3,6,1960,3.0
358,358,17,FIN,1,1,3,5,1960,3.0
359,359,18,AUT,1,1,0,2,1960,4.0
360,360,18,YUG,1,1,0,2,1960,1.0
361,361,20,PAK,1,0,1,2,1960,259.0
362,362,21,ETH,1,0,0,1,1960,231.0
363,363,21,GRC,1,0,0,1,1960,192.0
364,364,21,NOR,1,0,0,1,1960,237.0
365,365,24,CHE,0,3,3,6,1960,185.0
366,366,25,FRA,0,2,3,5,1960,142.0
367,367,26,BEL,0,2,2,4,1960,137.0
368,368,27,IRN,0,1,3,4,1960,9.0
369,369,28,NLD,0,1,2,3,1960,29.0
370,370,28,ZAF,0,1,2,3,1960,41.0
371,371,30,ARG,0,1,1,2,1960,74.0
372,372,30,EGY,0,1,1,2,1960,2.0
373,373,32,CAN,0,1,0,1,1960,1.0
374,374,32,TWN,0,1,0,1,1960,4.0
375,375,32,GHA,0,1,0,1,1960,14.0
376,376,32,IND,0,1,0,1,1960,5.0
377,377,32,MAR,0,1,0,1,1960,13.0
378,378,32,PRT,0,1,0,1,1960,12.0
379,379,32,SGP,0,1,0,1,1960,21.0
380,380,39,BRA,0,0,2,2,1960,9.0
381,381,39,IND,0,0,2,2,1960,5.0
382,382,41,IRQ,0,0,1,1,1960,11.0
383,383,41,MEX,0,0,1,1,1960,7.0
384,384,41,ESP,0,0,1,1,1960,5.0
385,385,41,VEN,0,0,1,1,1960,12.0
386,386,1,USA,36,26,28,90,1964,5.0
388,388,3,JPN,16,5,8,29,1964,8.0
389,389,4,DEU,10,22,18,50,1964,8.0
390,390,5,ITA,10,10,7,27,1964,11.0
391,391,6,HUN,10,7,5,22,1964,6.0
392,392,7,POL,7,6,10,23,1964,7.0
393,393,8,AUS,6,2,10,18,1964,9.0
395,395,10,GBR,4,12,2,18,1964,11.0
396,396,11,BGR,3,5,2,10,1964,4.0
397,397,12,FIN,3,0,2,5,1964,14.0
398,398,12,NZL,3,0,2,5,1964,16.0
399,399,14,ROU,2,4,6,12,1964,19.0
400,400,15,NLD,2,4,4,10,1964,3.0
401,401,16,TUR,2,3,1,6,1964,38.0
402,402,17,SWE,2,2,4,8,1964,18.0
403,403,18,DNK,2,1,3,6,1964,67.0
404,404,19,YUG,2,1,2,5,1964,94.0
405,405,20,BEL,2,0,1,3,1964,105.0
406,406,21,FRA,1,8,6,15,1964,119.0
407,407,22,CAN,1,2,1,4,1964,63.0
408,408,22,CHE,1,2,1,4,1964,86.0
409,409,24,BHS,1,0,0,1,1964,65.0
410,410,24,ETH,1,0,0,1,1964,89.0
411,411,24,IND,1,0,0,1,1964,104.0
412,412,27,KOR,0,2,1,3,1964,89.0
413,413,28,TTO,0,1,2,3,1964,149.0
414,414,29,TUN,0,1,1,2,1964,197.0
415,415,30,ARG,0,1,0,1,1964,233.0
416,416,30,CUB,0,1,0,1,1964,233.0
417,417,30,PAK,0,1,0,1,1964,251.0
418,418,30,PHL,0,1,0,1,1964,236.0
419,419,34,IRN,0,0,2,2,1964,318.0
420,420,35,BRA,0,0,1,1,1964,338.0
421,421,35,GHA,0,0,1,1,1964,306.0
422,422,35,IRL,0,0,1,1,1964,583.0
423,423,35,KEN,0,0,1,1,1964,416.0
424,424,35,MEX,0,0,1,1,1964,401.0
425,425,35,NGA,0,0,1,1,1964,14.0
426,426,35,URY,0,0,1,1,1964,16.0
427,427,1,USA,45,28,34,107,1968,15.0
429,429,3,JPN,11,7,7,25,1968,4.0
430,430,4,HUN,10,10,12,32,1968,10.0
431,431,5,DDR,9,9,7,25,1968,15.0
432,432,6,FRA,7,3,5,15,1968,14.0
434,434,8,DEU,5,11,10,26,1968,33.0
435,435,9,AUS,5,7,5,17,1968,15.0
436,436,10,GBR,5,5,3,13,1968,1.0
437,437,11,POL,5,2,11,18,1968,2.0
438,438,12,ROU,4,6,5,15,1968,1.0
439,439,13,ITA,3,4,9,16,1968,3.0
440,440,14,KEN,3,4,2,9,1968,3.0
441,441,15,MEX,3,3,3,9,1968,2.0
442,442,16,YUG,3,3,2,8,1968,3.0
443,443,17,NLD,3,3,1,7,1968,31.0
444,444,18,BGR,2,4,3,9,1968,10.0
445,445,19,IRN,2,1,2,5,1968,2.0
446,446,20,SWE,2,1,1,4,1968,85.0
447,447,21,TUR,2,0,0,2,1968,179.0
448,448,22,DNK,1,4,3,8,1968,82.0
449,449,23,CAN,1,3,1,5,1968,183.0
450,450,24,FIN,1,2,1,4,1968,116.0
451,451,25,ETH,1,1,0,2,1968,189.0
452,452,25,NOR,1,1,0,2,1968,226.0
453,453,27,NZL,1,0,2,3,1968,254.0
454,454,28,TUN,1,0,1,2,1968,397.0
455,455,29,PAK,1,0,0,1,1968,281.0
456,456,29,VEN,1,0,0,1,1968,236.0
457,457,31,CUB,0,4,0,4,1968,181.0
458,458,32,AUT,0,2,2,4,1968,150.0
459,459,33,CHE,0,1,4,5,1968,119.0
460,460,34,MNG,0,1,3,4,1968,87.0
461,461,35,BRA,0,1,2,3,1968,75.0
462,462,36,BEL,0,1,1,2,1968,58.0
463,463,36,KOR,0,1,1,2,1968,56.0
464,464,36,UGA,0,1,1,2,1968,61.0
465,465,39,CMR,0,1,0,1,1968,1.0
466,466,39,JAM,0,1,0,1,1968,9.0
467,467,41,ARG,0,0,2,2,1968,4.0
468,468,42,GRC,0,0,1,1,1968,5.0
469,469,42,IND,0,0,1,1,1968,4.0
470,470,42,TWN,0,0,1,1,1968,5.0
472,472,2,USA,33,31,30,94,1972,5.0
473,473,3,DDR,20,23,23,66,1972,5.0
474,474,4,DEU,13,11,16,40,1972,8.0
475,475,5,JPN,13,8,8,29,1972,8.0
476,476,6,AUS,8,7,2,17,1972,1.0
477,477,7,POL,7,5,9,21,1972,3.0
478,478,8,HUN,6,13,16,35,1972,15.0
479,479,9,BGR,6,10,5,21,1972,21.0
480,480,10,ITA,5,3,10,18,1972,5.0
481,481,11,SWE,4,6,6,16,1972,3.0
482,482,12,GBR,4,5,9,18,1972,4.0
483,483,13,ROU,3,6,7,16,1972,3.0
484,484,14,CUB,3,1,4,8,1972,6.0
485,485,14,FIN,3,1,4,8,1972,6.0
486,486,16,NLD,3,1,1,5,1972,2.0
487,487,17,FRA,2,4,7,13,1972,4.0
489,489,19,KEN,2,3,4,9,1972,15.0
490,490,20,YUG,2,1,2,5,1972,17.0
491,491,21,NOR,2,1,1,4,1972,5.0
492,492,22,PRK,1,1,3,5,1972,4.0
493,493,23,NZL,1,1,1,3,1972,4.0
494,494,24,UGA,1,1,0,2,1972,4.0
495,495,25,DNK,1,0,0,1,1972,6.0
496,496,26,CHE,0,3,0,3,1972,6.0
497,497,27,CAN,0,2,3,5,1972,3.0
498,498,28,IRN,0,2,1,3,1972,3.0
499,499,29,BEL,0,2,0,2,1972,7.0
500,500,29,GRC,0,2,0,2,1972,61.0
501,501,31,AUT,0,1,2,3,1972,4.0
502,502,31,COL,0,1,2,3,1972,148.0
503,503,33,ARG,0,1,0,1,1972,60.0
504,504,33,LBN,0,1,0,1,1972,85.0
505,505,33,MEX,0,1,0,1,1972,83.0
506,506,33,MNG,0,1,0,1,1972,113.0
507,507,33,PAK,0,1,0,1,1972,191.0
508,508,33,KOR,0,1,0,1,1972,167.0
509,509,33,TUN,0,1,0,1,1972,188.0
510,510,33,TUR,0,1,0,1,1972,154.0
511,511,41,BRA,0,0,2,2,1972,150.0
512,512,41,ETH,0,0,2,2,1972,140.0
513,513,43,GHA,0,0,1,1,1972,194.0
514,514,43,IND,0,0,1,1,1972,291.0
515,515,43,JAM,0,0,1,1,1972,344.0
516,516,43,NER,0,0,1,1,1972,531.0
517,517,43,NGA,0,0,1,1,1972,572.0
518,518,43,ESP,0,0,1,1,1972,503.0
520,520,2,DDR,40,25,25,90,1976,408.0
521,521,3,USA,34,35,25,94,1976,422.0
522,522,4,DEU,10,12,17,39,1976,391.0
523,523,5,JPN,9,6,10,25,1976,449.0
524,524,6,POL,7,6,13,26,1976,354.0
525,525,7,BGR,6,9,7,22,1976,405.0
526,526,8,CUB,6,4,3,13,1976,509.0
527,527,9,ROU,4,9,14,27,1976,538.0
528,528,10,HUN,4,5,13,22,1976,2.0
529,529,11,FIN,4,2,0,6,1976,14.0
530,530,12,SWE,4,1,0,5,1976,12.0
531,531,13,GBR,3,5,5,13,1976,13.0
532,532,14,ITA,2,7,4,13,1976,9.0
533,533,15,FRA,2,3,4,9,1976,4.0
534,534,16,YUG,2,3,3,8,1976,8.0
536,536,18,NZL,2,1,1,4,1976,7.0
537,537,19,KOR,1,1,4,6,1976,5.0
538,538,20,CHE,1,1,2,4,1976,9.0
539,539,21,JAM,1,1,0,2,1976,5.0
540,540,21,PRK,1,1,0,2,1976,2.0
541,541,21,NOR,1,1,0,2,1976,8.0
542,542,24,DNK,1,0,2,3,1976,25.0
543,543,25,MEX,1,0,1,2,1976,13.0
544,544,26,TTO,1,0,0,1,1976,10.0
545,545,27,CAN,0,5,6,11,1976,10.0
546,546,28,BEL,0,3,3,6,1976,5.0
547,547,29,NLD,0,2,3,5,1976,5.0
548,548,30,PRT,0,2,0,2,1976,5.0
549,549,30,ESP,0,2,0,2,1976,5.0
550,550,32,AUS,0,1,4,5,1976,7.0
551,551,33,IRN,0,1,1,2,1976,10.0
552,552,34,MNG,0,1,0,1,1976,3.0
553,553,34,VEN,0,1,0,1,1976,4.0
554,554,36,BRA,0,0,2,2,1976,2.0
555,555,37,AUT,0,0,1,1,1976,4.0
556,556,37,BMU,0,0,1,1,1976,5.0
557,557,37,PAK,0,0,1,1,1976,3.0
558,558,37,PRI,0,0,1,1,1976,6.0
559,559,37,THA,0,0,1,1,1976,7.0
561,561,2,DDR,47,37,42,126,1980,3.0
562,562,3,BGR,8,16,17,41,1980,1.0
563,563,4,CUB,8,7,5,20,1980,2.0
564,564,5,ITA,8,3,4,15,1980,2.0
565,565,6,HUN,7,10,15,32,1980,2.0
566,566,7,ROU,6,6,13,25,1980,3.0
567,567,8,FRA,6,5,3,14,1980,3.0
568,568,9,GBR,5,7,9,21,1980,28.0
569,569,10,POL,3,14,15,32,1980,2.0
570,570,11,SWE,3,3,6,12,1980,18.0
571,571,12,FIN,3,1,4,8,1980,46.0
573,573,14,YUG,2,3,4,9,1980,72.0
574,574,15,AUS,2,2,5,9,1980,82.0
575,575,16,DNK,2,1,2,5,1980,43.0
576,576,17,BRA,2,0,2,4,1980,9.0
577,577,17,ETH,2,0,2,4,1980,16.0
578,578,19,CHE,2,0,0,2,1980,25.0
579,579,20,ESP,1,3,2,6,1980,13.0
580,580,21,AUT,1,2,1,4,1980,9.0
581,581,22,GRC,1,0,2,3,1980,64.0
582,582,23,BEL,1,0,0,1,1980,23.0
583,583,23,IND,1,0,0,1,1980,15.0
584,584,23,ZWE,1,0,0,1,1980,24.0
585,585,26,PRK,0,3,2,5,1980,58.0
