NOC,Year,Bronze,Gold,Silver,Participants,Events,is_host,Total
ANG,1900,0,0,0,0,0,0,0
ANG,1904,0,0,0,0,0,0,0
ANG,1908,0,0,0,0,0,0,0
ANG,1912,0,0,0,0,0,0,0
ANG,1916,0,0,0,0,0,0,0
ANG,1920,0,0,0,0,0,0,0
ANG,1924,0,0,0,0,0,0,0
ANG,1928,0,0,0,0,0,0,0
ANG,1932,0,0,0,0,0,0,0
ANG,1936,0,0,0,0,0,0,0
ANG,1940,0,0,0,0,0,0,0
ANG,1944,0,0,0,0,0,0,0
ANG,1948,0,0,0,0,0,0,0
ANG,1952,0,0,0,0,0,0,0
ANG,1956,0,0,0,0,0,0,0
ANG,1960,0,0,0,0,0,0,0
ANG,1964,0,0,0,0,0,0,0
ANG,1968,0,0,0,0,0,0,0
ANG,1972,0,0,0,0,0,0,0
ANG,1976,0,0,0,0,0,0,0
ANG,1980,0,0,0,17,3,0,0
ANG,1984,0,0,0,0,0,0,0
ANG,1988,0,0,0,33,4,0,0
ANG,1992,0,0,0,33,6,0,0
ANG,1996,0,0,0,30,5,0,0
ANG,2000,0,0,0,30,5,0,0
ANG,2004,0,0,0,30,5,0,0
ANG,2008,0,0,0,33,6,0,0
ANG,2012,0,0,0,35,6,0,0
ANG,2016,0,0,0,26,7,0,0
ANG,2020,0,0,0,20,5,0,0
ANG,2024,0,0,0,26,7,0,0
ANT,1896,0,0,0,0,0,0,0
ANT,1900,0,0,0,0,0,0,0
ANT,1904,0,0,0,0,0,0,0
ANT,1908,0,0,0,0,0,0,0
ANT,1912,0,0,0,0,0,0,0
ANT,1916,0,0,0,0,0,0,0
ANT,1920,0,0,0,0,0,0,0
ANT,1924,0,0,0,0,0,0,0
ANT,1928,0,0,0,0,0,0,0
ANT,1932,0,0,0,0,0,0,0
ANT,1936,0,0,0,0,0,0,0
ANT,1940,0,0,0,0,0,0,0
ANT,1944,0,0,0,0,0,0,0
ANT,1948,0,0,0,0,0,0,0
ANT,1952,0,0,0,0,0,0,0
ANT,1956,0,0,0,0,0,0,0
ANT,1960,0,0,0,0,0,0,0
ANT,1964,0,0,0,0,0,0,0
ANT,1968,0,0,0,0,0,0,0
ANT,1972,0,0,0,0,0,0,0
ANT,1976,0,0,0,17,2,0,0
ANT,1980,0,0,0,0,0,0,0
ANT,1984,0,0,0,27,3,0,0
ANT,1988,0,0,0,25,4,0,0
ANT,1992,0,0,0,18,3,0,0
ANT,1996,0,0,0,19,4,0,0
ANT,2000,0,0,0,4,2,0,0
ANT,2004,0,0,0,5,2,0,0
ANT,2008,0,0,0,5,2,0,0
ANT,2012,0,0,0,4,2,0,0
ANT,2016,0,0,0,9,2,0,0
ANT,2020,0,0,0,6,4,0,0
ANT,2024,0,0,0,5,3,0,0
ANZ,1896,0,0,0,0,0,0,0
ANZ,1900,0,0,0,0,0,0,0
ANZ,1904,0,0,0,0,0,0,0
ANZ,1908,2,1,2,48,6,0,5
ANZ,1912,3,2,2,38,4,0,7
ANZ,1916,0,0,0,0,0,0,0
ANZ,1920,0,0,0,0,0,0,0
ANZ,1924,0,0,0,0,0,0,0
ANZ,1928,0,0,0,0,0,0,0
ANZ,1932,0,0,0,0,0,0,0
ANZ,1936,0,0,0,0,0,0,0
ANZ,1940,0,0,0,0,0,0,0
ANZ,1944,0,0,0,0,0,0,0
ANZ,1948,0,0,0,0,0,0,0
ANZ,1952,0,0,0,0,0,0,0
ANZ,1956,0,0,0,0,0,0,0
ANZ,1960,0,0,0,0,0,0,0
ANZ,1964,0,0,0,0,0,0,0
ANZ,1968,0,0,0,0,0,0,0
ANZ,1972,0,0,0,0,0,0,0
ANZ,1976,0,0,0,0,0,0,0
ANZ,1980,0,0,0,0,0,0,0
ANZ,1984,0,0,0,0,0,0,0
ANZ,1988,0,0,0,0,0,0,0
ANZ,1992,0,0,0,0,0,0,0
ANZ,1996,0,0,0,0,0,0,0
ANZ,2000,0,0,0,0,0,0,0
ANZ,2004,0,0,0,0,0,0,0
ANZ,2008,0,0,0,0,0,0,0
ANZ,2012,0,0,0,0,0,0,0
ANZ,2016,0,0,0,0,0,0,0
ANZ,2020,0,0,0,0,0,0,0
ANZ,2024,0,0,0,0,0,0,0
ARG,1896,0,0,0,0,0,0,0
ARG,1900,0,0,0,1,1,0,0
ARG,1904,0,0,0,0,0,0,0
ARG,1908,0,0,0,1,1,0,0
ARG,1912,0,0,0,0,0,0,0
ARG,1916,0,0,0,0,0,0,0
ARG,1920,0,0,0,1,1,0,0
ARG,1924,2,1,3,109,11,0,6
ARG,1928,1,3,3,98,12,0,7
ARG,1932,0,3,1,47,7,0,4
ARG,1936,3,2,2,68,8,0,7
ARG,1940,0,0,0,0,0,0,0
ARG,1944,0,0,0,0,0,0,0
ARG,1948,1,3,3,295,16,0,7
ARG,1952,2,1,2,174,15,0,5
ARG,1956,1,0,1,44,9,0,2
ARG,1960,1,0,1,116,15,0,2
ARG,1964,0,0,1,148,14,0,1
ARG,1968,2,0,0,132,12,0,2
ARG,1972,0,0,1,123,12,0,1
ARG,1976,0,0,0,106,12,0,0
ARG,1980,0,0,0,0,0,0,0
ARG,1984,0,0,0,115,14,0,0
ARG,1988,1,0,1,134,18,0,2
ARG,1992,1,0,0,111,17,0,1
ARG,1996,1,0,2,221,20,0,3
ARG,2000,2,0,2,165,21,0,4
ARG,2004,4,2,0,179,22,0,6
ARG,2008,4,2,0,145,19,0,6
ARG,2012,2,1,1,148,23,0,4
ARG,2016,0,3,1,232,26,0,4
ARG,2020,2,0,1,208,31,0,3
ARG,2024,1,1,1,154,25,0,3
ARM,1896,0,0,0,0,0,0,0
ARM,1900,0,0,0,0,0,0,0
ARM,1904,0,0,0,0,0,0,0
ARM,1908,0,0,0,0,0,0,0
ARM,1912,0,0,0,0,0,0,0
ARM,1916,0,0,0,0,0,0,0
ARM,1920,0,0,0,0,0,0,0
ARM,1924,0,0,0,0,0,0,0
ARM,1928,0,0,0,0,0,0,0
ARM,1932,0,0,0,0,0,0,0
ARM,1936,0,0,0,0,0,0,0
ARM,1940,0,0,0,0,0,0,0
ARM,1944,0,0,0,0,0,0,0
ARM,1948,0,0,0,0,0,0,0
ARM,1952,0,0,0,0,0,0,0
ARM,1956,0,0,0,0,0,0,0
ARM,1960,0,0,0,0,0,0,0
ARM,1964,0,0,0,0,0,0,0
ARM,1968,0,0,0,0,0,0,0
ARM,1972,0,0,0,0,0,0,0
ARM,1976,0,0,0,0,0,0,0
ARM,1980,0,0,0,0,0,0,0
ARM,1984,0,0,0,0,0,0,0
ARM,1988,0,0,0,0,0,0,0
ARM,1992,0,0,0,0,0,0,0
ARM,1996,0,1,1,38,11,0,2
ARM,2000,1,0,0,26,10,0,1
ARM,2004,0,0,0,19,8,0,0
ARM,2008,4,0,1,26,7,0,5
ARM,2012,1,0,1,31,9,0,2
ARM,2016,0,1,3,34,8,0,4
ARM,2020,2,0,2,19,8,0,4
ARM,2024,1,0,3,17,7,0,4
ARU,1896,0,0,0,0,0,0,0
ARU,1900,0,0,0,0,0,0,0
ARU,1904,0,0,0,0,0,0,0
ARU,1908,0,0,0,0,0,0,0
ARU,1912,0,0,0,0,0,0,0
ARU,1916,0,0,0,0,0,0,0
ARU,1920,0,0,0,0,0,0,0
ARU,1924,0,0,0,0,0,0,0
ARU,1928,0,0,0,0,0,0,0
ARU,1932,0,0,0,0,0,0,0
ARU,1936,0,0,0,0,0,0,0
ARU,1940,0,0,0,0,0,0,0
ARU,1944,0,0,0,0,0,0,0
ARU,1948,0,0,0,0,0,0,0
ARU,1952,0,0,0,0,0,0,0
ARU,1956,0,0,0,0,0,0,0
ARU,1960,0,0,0,0,0,0,0
ARU,1964,0,0,0,0,0,0,0
ARU,1968,0,0,0,0,0,0,0
ARU,1972,0,0,0,0,0,0,0
ARU,1976,0,0,0,0,0,0,0
ARU,1980,0,0,0,0,0,0,0
ARU,1984,0,0,0,0,0,0,0
ARU,1988,0,0,0,12,5,0,0
ARU,1992,0,0,0,5,3,0,0
ARU,1996,0,0,0,3,3,0,0
ARU,2000,0,0,0,5,3,0,0
ARU,2004,0,0,0,4,3,0,0
ARU,2008,0,0,0,2,2,0,0
ARU,2012,0,0,0,4,3,0,0
ARU,2016,0,0,0,7,4,0,0
ARU,2020,0,0,0,4,2,0,0
ARU,2024,0,0,0,7,4,0,0
ASA,1896,0,0,0,0,0,0,0
ASA,1900,0,0,0,0,0,0,0
ASA,1904,0,0,0,0,0,0,0
ASA,1908,0,0,0,0,0,0,0
ASA,1912,0,0,0,0,0,0,0
ASA,1916,0,0,0,0,0,0,0
ASA,1920,0,0,0,0,0,0,0
ASA,1924,0,0,0,0,0,0,0
ASA,1928,0,0,0,0,0,0,0
ASA,1932,0,0,0,0,0,0,0
ASA,1936,0,0,0,0,0,0,0
ASA,1940,0,0,0,0,0,0,0
ASA,1944,0,0,0,0,0,0,0
ASA,1948,0,0,0,0,0,0,0
ASA,1952,0,0,0,0,0,0,0
ASA,1956,0,0,0,0,0,0,0
ASA,1960,0,0,0,0,0,0,0
ASA,1964,0,0,0,0,0,0,0
ASA,1968,0,0,0,0,0,0,0
ASA,1972,0,0,0,0,0,0,0
ASA,1976,0,0,0,0,0,0,0
ASA,1980,0,0,0,0,0,0,0
ASA,1984,0,0,0,0,0,0,0
ASA,1988,0,0,0,6,4,0,0
ASA,1992,0,0,0,3,2,0,0
ASA,1996,0,0,0,7,5,0,0
ASA,2000,0,0,0,4,3,0,0
ASA,2004,0,0,0,3,2,0,0
ASA,2008,0,0,0,4,3,0,0
ASA,2012,0,0,0,4,3,0,0
ASA,2016,0,0,0,4,3,0,0
ASA,2020,0,0,0,6,4,0,0
ASA,2024,0,0,0,2,2,0,0
AUS,1896,0,2,0,5,2,0,2
AUS,1900,3,2,0,6,2,0,5
AUS,1904,1,0,3,6,2,0,4
AUS,1908,0,0,0,0,0,0,0
AUS,1912,0,0,0,0,0,0,0
AUS,1916,0,0,0,0,0,0,0
AUS,1920,1,0,2,29,5,0,3
AUS,1924,2,3,1,60,9,0,6
AUS,1928,1,1,2,29,6,0,4
AUS,1932,1,3,1,20,6,0,5
AUS,1936,1,0,0,39,7,0,1
AUS,1940,0,0,0,0,0,0,0
AUS,1944,0,0,0,0,0,0,0
AUS,1948,5,2,6,103,11,0,13
AUS,1952,3,6,2,140,12,0,11
AUS,1956,14,13,8,412,19,1,35
AUS,1960,6,8,8,280,17,0,22
AUS,1964,10,6,2,392,19,0,18
AUS,1968,5,5,7,224,16,0,17
AUS,1972,2,8,7,266,20,0,17
AUS,1976,4,0,1,274,20,0,5
AUS,1980,5,2,2,190,17,0,9
AUS,1984,12,4,8,337,22,0,24
AUS,1988,5,3,6,339,24,0,14
AUS,1992,11,7,9,390,25,0,27
AUS,1996,23,9,9,550,26,0,41
AUS,2000,17,16,25,788,34,1,58
AUS,2004,17,17,16,601,33,0,50
AUS,2008,17,14,15,570,31,0,46
AUS,2012,12,8,15,514,29,0,35
AUS,2016,10,8,11,518,31,0,29
AUS,2020,22,17,7,638,41,0,46
AUS,2024,16,18,19,649,44,0,53
AUT,1896,2,2,1,8,3,0,5
AUT,1900,3,0,3,26,4,0,6
AUT,1904,1,1,1,7,2,0,3
AUT,1908,1,0,0,13,4,0,1
AUT,1912,2,0,2,132,12,0,4
AUT,1916,0,0,0,0,0,0,0
AUT,1920,0,0,0,0,0,0,0
AUT,1924,1,0,3,56,8,0,4
AUT,1928,1,2,0,113,13,0,3
AUT,1932,3,1,1,33,7,0,5
AUT,1936,5,5,7,363,19,0,17
AUT,1940,0,0,0,0,0,0,0
AUT,1944,0,0,0,0,0,0,0
AUT,1948,3,1,0,239,17,0,4
AUT,1952,1,0,1,238,16,0,2
AUT,1956,2,0,0,57,12,0,2
AUT,1960,0,1,1,198,15,0,2
AUT,1964,0,0,0,82,14,0,0
AUT,1968,2,0,2,59,12,0,4
AUT,1972,2,0,1,143,15,0,3
AUT,1976,1,0,0,73,15,0,1
AUT,1980,1,1,2,92,16,0,4
AUT,1984,1,1,1,130,18,0,3
AUT,1988,0,1,0,96,17,0,1
AUT,1992,0,0,2,127,17,0,2
AUT,1996,2,0,1,92,15,0,3
AUT,2000,0,2,1,114,17,0,3
AUT,2004,1,2,4,92,18,0,7
AUT,2008,2,0,1,93,16,0,3
AUT,2012,0,0,0,90,19,0,0
AUT,2016,1,0,0,85,23,0,1
AUT,2020,5,1,1,103,24,0,7
AUT,2024,3,2,0,121,26,0,5
AZE,1896,0,0,0,0,0,0,0
AZE,1900,0,0,0,0,0,0,0
AZE,1904,0,0,0,0,0,0,0
AZE,1908,0,0,0,0,0,0,0
AZE,1912,0,0,0,0,0,0,0
AZE,1916,0,0,0,0,0,0,0
AZE,1920,0,0,0,0,0,0,0
AZE,1924,0,0,0,0,0,0,0
AZE,1928,0,0,0,0,0,0,0
AZE,1932,0,0,0,0,0,0,0
AZE,1936,0,0,0,0,0,0,0
AZE,1940,0,0,0,0,0,0,0
AZE,1944,0,0,0,0,0,0,0
AZE,1948,0,0,0,0,0,0,0
AZE,1952,0,0,0,0,0,0,0
AZE,1956,0,0,0,0,0,0,0
AZE,1960,0,0,0,0,0,0,0
AZE,1964,0,0,0,0,0,0,0
AZE,1968,0,0,0,0,0,0,0
AZE,1972,0,0,0,0,0,0,0
AZE,1976,0,0,0,0,0,0,0
AZE,1980,0,0,0,0,0,0,0
AZE,1984,0,0,0,0,0,0,0
AZE,1988,0,0,0,0,0,0,0
AZE,1992,0,0,0,0,0,0,0
AZE,1996,0,0,1,24,9,0,1
AZE,2000,1,2,0,32,8,0,3
AZE,2004,4,1,0,37,10,0,5
AZE,2008,4,1,1,44,10,0,6
AZE,2012,5,2,2,59,15,0,9
AZE,2016,10,1,7,69,15,0,18
AZE,2020,4,0,3,55,14,0,7
AZE,2024,3,2,2,49,15,0,7
BAH,1896,0,0,0,0,0,0,0
BAH,1900,0,0,0,0,0,0,0
BAH,1904,0,0,0,0,0,0,0
BAH,1908,0,0,0,0,0,0,0
BAH,1912,0,0,0,0,0,0,0
BAH,1916,0,0,0,0,0,0,0
BAH,1920,0,0,0,0,0,0,0
BAH,1924,0,0,0,0,0,0,0
BAH,1928,0,0,0,0,0,0,0
BAH,1932,0,0,0,0,0,0,0
BAH,1936,0,0,0,0,0,0,0
BAH,1940,0,0,0,0,0,0,0
BAH,1944,0,0,0,0,0,0,0
BAH,1948,0,0,0,0,0,0,0
BAH,1952,0,0,0,7,1,0,0
BAH,1956,1,0,0,5,2,0,1
BAH,1960,0,0,0,14,2,0,0
BAH,1964,0,1,0,12,2,0,1
BAH,1968,0,0,0,22,3,0,0
BAH,1972,0,0,0,25,4,0,0
BAH,1976,0,0,0,19,3,0,0
BAH,1980,0,0,0,0,0,0,0
BAH,1984,0,0,0,31,4,0,0
BAH,1988,0,0,0,18,5,0,0
BAH,1992,1,0,0,18,4,0,1
BAH,1996,0,0,1,36,4,0,1
BAH,2000,1,2,0,39,3,0,3
BAH,2004,1,1,0,28,3,0,2
BAH,2008,1,0,1,33,4,0,2
BAH,2012,0,1,0,29,2,0,1
BAH,2016,1,1,0,38,3,0,2
BAH,2020,0,2,0,22,2,0,2
BAH,2024,0,0,0,21,2,0,0
BAN,1896,0,0,0,0,0,0,0
BAN,1900,0,0,0,0,0,0,0
BAN,1904,0,0,0,0,0,0,0
BAN,1908,0,0,0,0,0,0,0
BAN,1912,0,0,0,0,0,0,0
BAN,1916,0,0,0,0,0,0,0
BAN,1920,0,0,0,0,0,0,0
BAN,1924,0,0,0,0,0,0,0
BAN,1928,0,0,0,0,0,0,0
BAN,1932,0,0,0,0,0,0,0
BAN,1936,0,0,0,0,0,0,0
BAN,1940,0,0,0,0,0,0,0
BAN,1944,0,0,0,0,0,0,0
BAN,1948,0,0,0,0,0,0,0
BAN,1952,0,0,0,0,0,0,0
BAN,1956,0,0,0,0,0,0,0
BAN,1960,0,0,0,0,0,0,0
BAN,1964,0,0,0,0,0,0,0
BAN,1968,0,0,0,0,0,0,0
BAN,1972,0,0,0,0,0,0,0
BAN,1976,0,0,0,0,0,0,0
BAN,1980,0,0,0,0,0,0,0
BAN,1984,0,0,0,2,1,0,0
BAN,1988,0,0,0,11,2,0,0
BAN,1992,0,0,0,9,3,0,0
BAN,1996,0,0,0,4,3,0,0
BAN,2000,0,0,0,6,3,0,0
BAN,2004,0,0,0,4,3,0,0
BAN,2008,0,0,0,5,3,0,0
BAN,2012,0,0,0,7,5,0,0
BAN,2016,0,0,0,7,5,0,0
BAN,2020,0,0,0,8,4,0,0
BAN,2024,0,0,0,5,4,0,0
BAR,1896,0,0,0,0,0,0,0
BAR,1900,0,0,0,0,0,0,0
BAR,1904,0,0,0,0,0,0,0
BAR,1908,0,0,0,0,0,0,0
BAR,1912,0,0,0,0,0,0,0
BAR,1916,0,0,0,0,0,0,0
BAR,1920,0,0,0,0,0,0,0
BAR,1924,0,0,0,0,0,0,0
BAR,1928,0,0,0,0,0,0,0
BAR,1932,0,0,0,0,0,0,0
BAR,1936,0,0,0,0,0,0,0
BAR,1940,0,0,0,0,0,0,0
BAR,1944,0,0,0,0,0,0,0
BAR,1948,0,0,0,0,0,0,0
BAR,1952,0,0,0,0,0,0,0
BAR,1956,0,0,0,0,0,0,0
BAR,1960,0,0,0,0,0,0,0
BAR,1964,0,0,0,0,0,0,0
BAR,1968,0,0,0,13,5,0,0
BAR,1972,0,0,0,20,4,0,0
BAR,1976,0,0,0,17,2,0,0
BAR,1980,0,0,0,0,0,0,0
BAR,1984,0,0,0,25,6,0,0
BAR,1988,0,0,0,26,7,0,0
BAR,1992,0,0,0,22,5,0,0
BAR,1996,0,0,0,22,7,0,0
BAR,2000,1,0,0,28,6,0,1
BAR,2004,0,0,0,15,5,0,0
BAR,2008,0,0,0,10,3,0,0
BAR,2012,0,0,0,8,3,0,0
BAR,2016,0,0,0,13,5,0,0
BAR,2020,0,0,0,9,2,0,0
BAR,2024,0,0,0,4,3,0,0
BDI,1896,0,0,0,0,0,0,0
BDI,1900,0,0,0,0,0,0,0
BDI,1904,0,0,0,0,0,0,0
BDI,1908,0,0,0,0,0,0,0
BDI,1912,0,0,0,0,0,0,0
BDI,1916,0,0,0,0,0,0,0
BDI,1920,0,0,0,0,0,0,0
BDI,1924,0,0,0,0,0,0,0
BDI,1928,0,0,0,0,0,0,0
BDI,1932,0,0,0,0,0,0,0
BDI,1936,0,0,0,0,0,0,0
BDI,1940,0,0,0,0,0,0,0
BDI,1944,0,0,0,0,0,0,0
BDI,1948,0,0,0,0,0,0,0
BDI,1952,0,0,0,0,0,0,0
BDI,1956,0,0,0,0,0,0,0
BDI,1960,0,0,0,0,0,0,0
BDI,1964,0,0,0,0,0,0,0
BDI,1968,0,0,0,0,0,0,0
BDI,1972,0,0,0,0,0,0,0
BDI,1976,0,0,0,0,0,0,0
BDI,1980,0,0,0,0,0,0,0
BDI,1984,0,0,0,0,0,0,0
BDI,1988,0,0,0,0,0,0,0
BDI,1992,0,0,0,0,0,0,0
BDI,1996,0,1,0,7,1,0,1
BDI,2000,0,0,0,6,1,0,0
BDI,2004,0,0,0,7,2,0,0
BDI,2008,0,0,0,3,2,0,0
BDI,2012,0,0,0,6,3,0,0
BDI,2016,0,0,1,10,3,0,1
BDI,2020,0,0,0,7,3,0,0
BDI,2024,0,0,0,8,3,0,0
BEL,1896,0,0,0,0,0,0,0
BEL,1900,4,6,7,100,10,0,17
BEL,1904,0,0,0,0,0,0,0
