Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
13,BEL,2,1,3,6,1912,72,0
14,DNK,1,6,5,12,1912,233,0
15,GRC,1,0,1,2,1912,77,0
16,RUS,0,2,3,5,1912,266,0
17,AUT,0,2,2,4,1912,132,0
18,NLD,0,0,3,3,1912,45,0
1,USA,41,27,27,95,1920,473,0
2,SWE,19,20,25,64,1920,404,0
3,FIN,15,10,9,34,1920,136,0
4,GBR,14,15,13,42,1920,345,0
5,BEL,14,11,11,36,1920,518,1
6,NOR,13,9,9,31,1920,267,0
7,ITA,13,5,5,23,1920,291,0
8,FRA,9,19,13,41,1920,452,0
9,NLD,4,2,5,11,1920,213,0
10,DNK,3,9,1,13,1920,246,0
11,ZAF,3,4,3,10,1920,97,0
12,CAN,3,3,3,9,1920,85,0
13,CHE,2,2,7,11,1920,126,0
14,EST,1,2,0,3,1920,20,0
15,BRA,1,1,1,3,1920,38,0
16,AUS,0,2,1,3,1920,29,0
17,JPN,0,2,0,2,1920,26,0
17,ESP,0,2,0,2,1920,111,0
19,GRC,0,1,0,1,1920,98,0
19,LUX,0,1,0,1,1920,35,0
22,NZL,0,0,1,1,1920,6,0
1,USA,45,27,27,99,1924,459,0
2,FIN,14,13,10,37,1924,253,0
3,FRA,13,15,10,38,1924,636,1
4,GBR,9,13,12,34,1924,428,0
5,ITA,8,3,5,16,1924,333,0
6,CHE,7,8,10,25,1924,262,0
7,NOR,5,2,3,10,1924,105,0
8,SWE,4,13,12,29,1924,256,0
9,NLD,4,1,5,10,1924,246,0
10,BEL,3,7,3,13,1924,234,0
11,AUS,3,1,2,6,1924,60,0
12,DNK,2,5,2,9,1924,158,0
13,HUN,2,3,4,9,1924,140,0
14,YUG,2,0,0,2,1924,116,0
16,ARG,1,3,2,6,1924,109,0
17,EST,1,1,4,6,1924,47,0
18,ZAF,1,1,1,3,1924,44,0
19,URY,1,0,0,1,1924,40,0
20,AUT,0,3,1,4,1924,56,0
20,CAN,0,3,1,4,1924,83,0
22,POL,0,1,1,2,1924,100,0
23,HTI,0,0,1,1,1924,16,0
23,JPN,0,0,1,1,1924,37,0
23,NZL,0,0,1,1,1924,6,0
23,PRT,0,0,1,1,1924,47,0
23,ROU,0,0,1,1,1924,45,0
1,USA,22,18,16,56,1928,426,0
2,DEU,10,7,14,31,1928,399,0
3,FIN,8,8,9,25,1928,132,0
4,SWE,7,6,12,25,1928,139,0
5,ITA,7,5,7,19,1928,273,0
6,CHE,7,4,4,15,1928,236,0
7,FRA,6,10,5,21,1928,422,0
8,NLD,6,9,4,19,1928,384,1
9,HUN,4,5,0,9,1928,219,0
10,CAN,4,4,7,15,1928,113,0
11,GBR,3,10,7,20,1928,354,0
12,ARG,3,3,1,7,1928,98,0
13,DNK,3,1,2,6,1928,122,0
15,JPN,2,2,1,5,1928,56,0
16,EST,2,1,2,5,1928,23,0
17,EGY,2,1,1,4,1928,43,0
18,AUT,2,0,1,3,1928,113,0
19,AUS,1,2,1,4,1928,29,0
19,NOR,1,2,1,4,1928,79,0
21,POL,1,1,3,5,1928,146,0
21,YUG,1,1,3,5,1928,86,0
23,ZAF,1,0,2,3,1928,40,0
24,IND,1,0,0,1,1928,24,0
24,IRL,1,0,0,1,1928,44,0
24,NZL,1,0,0,1,1928,13,0
24,ESP,1,0,0,1,1928,106,0
24,URY,1,0,0,1,1928,17,0
29,BEL,0,1,2,3,1928,260,0
30,CHL,0,1,0,1,1928,46,0
30,HTI,0,1,0,1,1928,3,0
32,PHL,0,0,1,1,1928,6,0
32,PRT,0,0,1,1,1928,39,0
1,USA,44,36,30,110,1932,743,1
2,ITA,12,12,12,36,1932,154,0
3,FRA,11,5,4,20,1932,159,0
4,SWE,10,5,9,24,1932,128,0
5,JPN,7,7,4,18,1932,203,0
6,HUN,6,5,5,16,1932,118,0
7,DEU,5,12,7,24,1932,202,0
8,FIN,5,8,12,25,1932,66,0
9,GBR,5,7,5,17,1932,170,0
10,POL,3,2,4,9,1932,71,0
11,AUS,3,1,1,5,1932,20,0
12,ARG,3,1,0,4,1932,47,0
13,CAN,2,5,9,16,1932,191,0
14,NLD,2,5,1,8,1932,80,0
15,ZAF,2,0,3,5,1932,20,0
16,IRL,2,0,0,2,1932,18,0
18,AUT,1,1,3,5,1932,33,0
19,IND,1,0,0,1,1932,26,0
20,DNK,0,5,3,8,1932,94,0
21,MEX,0,2,0,2,1932,100,0
22,LVA,0,1,0,1,1932,13,0
22,NZL,0,1,0,1,1932,29,0
22,CHE,0,1,0,1,1932,9,0
25,PHL,0,0,3,3,1932,8,0
26,BEL,0,0,1,1,1932,69,0
26,ESP,0,0,1,1,1932,8,0
26,URY,0,0,1,1,1932,6,0
1,DEU,38,31,32,101,1936,581,1
2,USA,24,21,12,57,1936,487,0
3,HUN,10,1,5,16,1936,335,0
4,ITA,9,13,5,27,1936,349,0
5,FIN,8,6,6,20,1936,186,0
6,FRA,7,6,6,19,1936,303,0
7,SWE,6,5,10,21,1936,231,0
8,JPN,6,4,10,20,1936,325,0
9,NLD,6,4,7,17,1936,227,0
10,AUT,5,7,5,17,1936,363,0
11,CHE,4,9,5,18,1936,328,0
12,GBR,4,7,3,14,1936,250,0
14,ARG,2,2,3,7,1936,68,0
14,EST,2,2,3,7,1936,36,0
16,EGY,2,1,2,5,1936,66,0
17,CAN,1,3,5,9,1936,167,0
18,NOR,1,3,2,6,1936,84,0
19,TUR,1,0,1,2,1936,62,0
20,IND,1,0,0,1,1936,30,0
20,NZL,1,0,0,1,1936,9,0
22,POL,0,4,5,9,1936,177,0
23,DNK,0,2,3,5,1936,173,0
24,LVA,0,1,1,2,1936,33,0
25,ROU,0,1,0,1,1936,118,0
25,ZAF,0,1,0,1,1936,54,0
25,YUG,0,1,0,1,1936,173,0
28,BEL,0,0,3,3,1936,205,0
28,MEX,0,0,3,3,1936,32,0
30,AUS,0,0,1,1,1936,39,0
30,PHL,0,0,1,1,1936,40,0
30,PRT,0,0,1,1,1936,26,0
1,USA,38,27,19,84,1948,424,0
2,SWE,16,11,17,44,1948,223,0
3,FRA,10,6,13,29,1948,433,0
4,HUN,10,5,12,27,1948,222,0
5,ITA,8,11,8,27,1948,310,0
6,FIN,8,7,5,20,1948,215,0
7,TUR,6,4,2,12,1948,87,0
9,CHE,5,10,5,20,1948,287,0
10,DNK,5,7,8,20,1948,253,0
11,NLD,5,2,9,16,1948,187,0
12,GBR,3,14,6,23,1948,590,1
13,ARG,3,3,1,7,1948,295,0
14,AUS,2,6,5,13,1948,103,0
15,BEL,2,2,3,7,1948,182,0
16,EGY,2,2,1,5,1948,166,0
17,MEX,2,1,2,5,1948,149,0
18,ZAF,2,1,1,4,1948,43,0
19,NOR,1,3,3,7,1948,97,0
20,JAM,1,2,0,3,1948,26,0
21,AUT,1,0,3,4,1948,239,0
22,IND,1,0,0,1,1948,89,0
22,PER,1,0,0,1,1948,49,0
24,YUG,0,2,0,2,1948,162,0
25,CAN,0,1,2,3,1948,188,0
26,PRT,0,1,1,2,1948,65,0
26,URY,0,1,1,2,1948,79,0
28,CUB,0,1,0,1,1948,112,0
28,ESP,0,1,0,1,1948,84,0
28,TTO,0,1,0,1,1948,9,0
32,PAN,0,0,2,2,1948,2,0
32,KOR,0,0,2,2,1948,48,0
34,BRA,0,0,1,1,1948,105,0
34,IRN,0,0,1,1,1948,39,0
34,POL,0,0,1,1,1948,52,0
34,PRI,0,0,1,1,1948,9,0
1,USA,40,19,17,76,1952,451,0
3,HUN,16,10,16,42,1952,345,0
4,SWE,12,13,10,35,1952,355,0
5,ITA,8,9,4,21,1952,376,0
7,FRA,6,6,6,18,1952,408,0
8,FIN,6,3,13,22,1952,412,1
9,AUS,6,2,3,11,1952,140,0
10,NOR,3,2,0,5,1952,190,0
11,CHE,2,6,6,14,1952,251,0
12,ZAF,2,4,4,10,1952,109,0
13,JAM,2,3,0,5,1952,16,0
14,BEL,2,2,0,4,1952,184,0
15,DNK,2,1,3,6,1952,201,0
16,TUR,2,0,1,3,1952,58,0
17,JPN,1,6,2,9,1952,133,0
18,GBR,1,2,8,11,1952,401,0
19,ARG,1,2,2,5,1952,174,0
20,POL,1,2,1,4,1952,248,0
21,CAN,1,2,0,3,1952,154,0
21,YUG,1,2,0,3,1952,194,0
23,ROU,1,1,2,4,1952,241,0
24,BRA,1,0,2,3,1952,119,0
24,NZL,1,0,2,3,1952,20,0
26,IND,1,0,1,2,1952,94,0
27,LUX,1,0,0,1,1952,101,0
28,DEU,0,7,17,24,1952,365,0
29,NLD,0,5,0,5,1952,180,0
30,IRN,0,3,4,7,1952,23,0
31,CHL,0,2,0,2,1952,82,0
32,AUT,0,1,1,2,1952,238,0
32,LBN,0,1,1,2,1952,240,0
34,IRL,0,1,0,1,1952,25,0
34,MEX,0,1,0,1,1952,85,0
34,ESP,0,1,0,1,1952,42,0
37,KOR,0,0,2,2,1952,22,0
37,TTO,0,0,2,2,1952,2,0
37,URY,0,0,2,2,1952,42,0
40,BGR,0,0,1,1,1952,179,0
40,EGY,0,0,1,1,1952,196,0
40,PRT,0,0,1,1,1952,155,0
40,VEN,0,0,1,1,1952,63,0
2,USA,32,25,17,74,1956,443,0
3,AUS,13,8,14,35,1956,412,1
4,HUN,9,10,7,26,1956,197,0
5,ITA,8,8,9,25,1956,207,0
6,SWE,8,5,6,19,1956,186,0
7,DEU,6,13,7,26,1956,261,0
8,GBR,6,7,11,24,1956,283,0
9,ROU,5,3,5,13,1956,103,0
10,JPN,4,10,5,19,1956,222,0
11,FRA,4,4,6,14,1956,227,0
12,TUR,3,2,2,7,1956,28,0
13,FIN,3,1,11,15,1956,147,0
14,IRN,2,2,1,5,1956,17,0
15,CAN,2,1,3,6,1956,150,0
16,NZL,2,0,0,2,1956,57,0
17,POL,1,4,4,9,1956,118,0
19,BGR,1,3,1,5,1956,82,0
20,DNK,1,2,1,4,1956,51,0
21,IRL,1,1,3,5,1956,25,0
22,NOR,1,0,2,3,1956,29,0
23,MEX,1,0,1,2,1956,36,0
24,BRA,1,0,0,1,1956,63,0
24,IND,1,0,0,1,1956,79,0
26,YUG,0,3,0,3,1956,37,0
27,CHL,0,2,2,4,1956,43,0
28,BEL,0,2,0,2,1956,82,0
29,ARG,0,1,1,2,1956,44,0
29,KOR,0,1,1,2,1956,36,0
31,ISL,0,1,0,1,1956,2,0
31,PAK,0,1,0,1,1956,79,0
33,ZAF,0,0,4,4,1956,90,0
34,AUT,0,0,2,2,1956,57,0
35,BHS,0,0,1,1,1956,5,0
35,GRC,0,0,1,1,1956,16,0
35,CHE,0,0,1,1,1956,18,0
35,URY,0,0,1,1,1956,29,0
2,USA,34,21,16,71,1960,428,0
3,ITA,13,10,13,36,1960,402,1
4,DEU,12,19,11,42,1960,425,0
5,AUS,8,8,6,22,1960,280,0
6,TUR,7,2,0,9,1960,58,0
7,HUN,6,8,7,21,1960,312,0
8,JPN,4,7,7,18,1960,278,0
9,POL,4,6,11,21,1960,307,0
11,ROU,3,1,6,10,1960,156,0
12,GBR,2,6,12,20,1960,389,0
13,DNK,2,3,1,6,1960,109,0
14,NZL,2,0,1,3,1960,47,0
15,BGR,1,3,3,7,1960,183,0
16,SWE,1,2,3,6,1960,258,0
17,FIN,1,1,3,5,1960,219,0
18,AUT,1,1,0,2,1960,198,0
18,YUG,1,1,0,2,1960,185,0
20,PAK,1,0,1,2,1960,53,0
21,ETH,1,0,0,1,1960,15,0
21,GRC,1,0,0,1,1960,59,0
21,NOR,1,0,0,1,1960,50,0
24,CHE,0,3,3,6,1960,221,0
25,FRA,0,2,3,5,1960,363,0
26,BEL,0,2,2,4,1960,150,0
27,IRN,0,1,3,4,1960,24,0
28,NLD,0,1,2,3,1960,160,0
28,ZAF,0,1,2,3,1960,72,0
30,ARG,0,1,1,2,1960,116,0
30,EGY,0,1,1,2,1960,2,0
32,CAN,0,1,0,1,1960,140,0
32,TWN,0,1,0,1,1960,31,0
32,GHA,0,1,0,1,1960,15,0
32,IND,0,1,0,1,1960,49,0
32,MAR,0,1,0,1,1960,111,0
32,PRT,0,1,0,1,1960,109,0
32,SGP,0,1,0,1,1960,5,0
39,BRA,0,0,2,2,1960,86,0
39,IND,0,0,2,2,1960,49,0
41,IRQ,0,0,1,1,1960,28,0
41,MEX,0,0,1,1,1960,110,0
41,ESP,0,0,1,1,1960,238,0
41,VEN,0,0,1,1,1960,54,0
1,USA,36,26,28,90,1964,492,0
3,JPN,16,5,8,29,1964,456,1
4,DEU,10,22,18,50,1964,478,0
5,ITA,10,10,7,27,1964,256,0
6,HUN,10,7,5,22,1964,319,0
7,POL,7,6,10,23,1964,240,0
8,AUS,6,2,10,18,1964,392,0
10,GBR,4,12,2,18,1964,301,0
11,BGR,3,5,2,10,1964,116,0
12,FIN,3,0,2,5,1964,151,0
12,NZL,3,0,2,5,1964,88,0
14,ROU,2,4,6,12,1964,232,0
15,NLD,2,4,4,10,1964,158,0
16,TUR,2,3,1,6,1964,25,0
17,SWE,2,2,4,8,1964,175,0
18,DNK,2,1,3,6,1964,71,0
19,YUG,2,1,2,5,1964,123,0
20,BEL,2,0,1,3,1964,74,0
21,FRA,1,8,6,15,1964,214,0
22,CAN,1,2,1,4,1964,194,0
22,CHE,1,2,1,4,1964,129,0
24,BHS,1,0,0,1,1964,12,0
24,ETH,1,0,0,1,1964,19,0
24,IND,1,0,0,1,1964,111,0
27,KOR,0,2,1,3,1964,240,0
28,TTO,0,1,2,3,1964,18,0
29,TUN,0,1,1,2,1964,12,0
30,ARG,0,1,0,1,1964,148,0
30,CUB,0,1,0,1,1964,76,0
30,PAK,0,1,0,1,1964,47,0
30,PHL,0,1,0,1,1964,70,0
34,IRN,0,0,2,2,1964,96,0
35,BRA,0,0,1,1,1964,65,0
35,GHA,0,0,1,1,1964,40,0
35,IRL,0,0,1,1,1964,35,0
35,KEN,0,0,1,1,1964,41,0
35,MEX,0,0,1,1,1964,128,0
35,NGA,0,0,1,1,1964,19,0
35,URY,0,0,1,1,1964,29,0
1,USA,45,28,34,107,1968,529,0
3,JPN,11,7,7,25,1968,289,0
4,HUN,10,10,12,32,1968,303,0
5,DDR,9,9,7,25,1968,346,0
6,FRA,7,3,5,15,1968,311,0
8,DEU,5,11,10,26,1968,33,0
9,AUS,5,7,5,17,1968,224,0
10,GBR,5,5,3,13,1968,328,0
11,POL,5,2,11,18,1968,296,0
12,ROU,4,6,5,15,1968,100,0
13,ITA,3,4,9,16,1968,268,0
14,KEN,3,4,2,9,1968,50,0
15,MEX,3,3,3,9,1968,446,1
16,YUG,3,3,2,8,1968,130,0
17,NLD,3,3,1,7,1968,140,0
18,BGR,2,4,3,9,1968,189,0
19,IRN,2,1,2,5,1968,14,0
20,SWE,2,1,1,4,1968,186,0
21,TUR,2,0,0,2,1968,30,0
22,DNK,1,4,3,8,1968,93,0
23,CAN,1,3,1,5,1968,291,0
24,FIN,1,2,1,4,1968,126,0
25,ETH,1,1,0,2,1968,26,0
25,NOR,1,1,0,2,1968,86,0
27,NZL,1,0,2,3,1968,65,0
28,TUN,1,0,1,2,1968,8,0
29,PAK,1,0,0,1,1968,15,0
29,VEN,1,0,0,1,1968,30,0
31,CUB,0,4,0,4,1968,227,0
32,AUT,0,2,2,4,1968,59,0
33,CHE,0,1,4,5,1968,155,0
34,MNG,0,1,3,4,1968,38,0
35,BRA,0,1,2,3,1968,89,0
36,BEL,0,1,1,2,1968,106,0
36,KOR,0,1,1,2,1968,66,0
36,UGA,0,1,1,2,1968,14,0
39,CMR,0,1,0,1,1968,5,0
39,JAM,0,1,0,1,1968,35,0
41,ARG,0,0,2,2,1968,132,0
42,GRC,0,0,1,1,1968,44,0
42,IND,0,0,1,1,1968,27,0
42,TWN,0,0,1,1,1968,93,0
2,USA,33,31,30,94,1972,578,0
3,DDR,20,23,23,66,1972,454,0
4,DEU,13,11,16,40,1972,8,1
5,JPN,13,8,8,29,1972,293,0
6,AUS,8,7,2,17,1972,266,0
7,POL,7,5,9,21,1972,418,0
8,HUN,6,13,16,35,1972,367,0
9,BGR,6,10,5,21,1972,226,0
10,ITA,5,3,10,18,1972,345,0
11,SWE,4,6,6,16,1972,186,0
12,GBR,4,5,9,18,1972,433,0
13,ROU,3,6,7,16,1972,258,0
14,CUB,3,1,4,8,1972,201,0
14,FIN,3,1,4,8,1972,133,0
16,NLD,3,1,1,5,1972,199,0
17,FRA,2,4,7,13,1972,356,0
19,KEN,2,3,4,9,1972,69,0
20,YUG,2,1,2,5,1972,212,0
21,NOR,2,1,1,4,1972,161,0
22,PRK,1,1,3,5,1972,83,0
23,NZL,1,1,1,3,1972,112,0
24,UGA,1,1,0,2,1972,35,0
25,DNK,1,0,0,1,1972,155,0
26,CHE,0,3,0,3,1972,265,0
27,CAN,0,2,3,5,1972,344,0
28,IRN,0,2,1,3,1972,56,0
29,BEL,0,2,0,2,1972,106,0
29,GRC,0,2,0,2,1972,66,0
31,AUT,0,1,2,3,1972,143,0
31,COL,0,1,2,3,1972,75,0
33,ARG,0,1,0,1,1972,123,0
33,LBN,0,1,0,1,1972,85,0
33,MEX,0,1,0,1,1972,281,0
33,MNG,0,1,0,1,1972,44,0
33,PAK,0,1,0,1,1972,26,0
33,KOR,0,1,0,1,1972,43,0
33,TUN,0,1,0,1,1972,37,0
33,TUR,0,1,0,1,1972,50,0
41,BRA,0,0,2,2,1972,104,0
41,ETH,0,0,2,2,1972,40,0
43,GHA,0,0,1,1,1972,41,0
43,IND,0,0,1,1,1972,43,0
43,JAM,0,0,1,1,1972,51,0
43,NER,0,0,1,1,1972,4,0
43,NGA,0,0,1,1,1972,36,0
43,ESP,0,0,1,1,1972,162,0
2,DDR,40,25,25,90,1976,407,0
3,USA,34,35,25,94,1976,554,0
4,DEU,10,12,17,39,1976,391,0
5,JPN,9,6,10,25,1976,328,0
6,POL,7,6,13,26,1976,286,0
7,BGR,6,9,7,22,1976,254,0
8,CUB,6,4,3,13,1976,194,0
9,ROU,4,9,14,27,1976,255,0
10,HUN,4,5,13,22,1976,288,0
11,FIN,4,2,0,6,1976,108,0
12,SWE,4,1,0,5,1976,163,0
13,GBR,3,5,5,13,1976,353,0
14,ITA,2,7,4,13,1976,312,0
15,FRA,2,3,4,9,1976,302,0
16,YUG,2,3,3,8,1976,95,0
18,NZL,2,1,1,4,1976,98,0
19,KOR,1,1,4,6,1976,51,0
20,CHE,1,1,2,4,1976,101,0
21,JAM,1,1,0,2,1976,36,0
21,PRK,1,1,0,2,1976,40,0
21,NOR,1,1,0,2,1976,79,0
24,DNK,1,0,2,3,1976,81,0
25,MEX,1,0,1,2,1976,137,0
26,TTO,1,0,0,1,1976,20,0
27,CAN,0,5,6,11,1976,531,1
28,BEL,0,3,3,6,1976,149,0
29,NLD,0,2,3,5,1976,175,0
30,PRT,0,2,0,2,1976,36,0
30,ESP,0,2,0,2,1976,160,0
32,AUS,0,1,4,5,1976,274,0
33,IRN,0,1,1,2,1976,104,0
34,MNG,0,1,0,1,1976,33,0
34,VEN,0,1,0,1,1976,56,0
36,BRA,0,0,2,2,1976,89,0
37,AUT,0,0,1,1,1976,73,0
37,BMU,0,0,1,1,1976,20,0
37,PAK,0,0,1,1,1976,24,0
37,PRI,0,0,1,1,1976,112,0
37,THA,0,0,1,1,1976,62,0
2,DDR,47,37,42,126,1980,495,0
3,BGR,8,16,17,41,1980,397,0
4,CUB,8,7,5,20,1980,288,0
5,ITA,8,3,4,15,1980,203,0
6,HUN,7,10,15,32,1980,392,0
7,ROU,6,6,13,25,1980,339,0
8,FRA,6,5,3,14,1980,200,0
9,GBR,5,7,9,21,1980,328,0
10,POL,3,14,15,32,1980,418,0
11,SWE,3,3,6,12,1980,201,0
12,FIN,3,1,4,8,1980,125,0
14,YUG,2,3,4,9,1980,180,0
15,AUS,2,2,5,9,1980,190,0
16,DNK,2,1,2,5,1980,60,0
17,BRA,2,0,2,4,1980,149,0
17,ETH,2,0,2,4,1980,48,0
19,CHE,2,0,0,2,1980,86,0
20,ESP,1,3,2,6,1980,211,0
21,AUT,1,2,1,4,1980,92,0
22,GRC,1,0,2,3,1980,45,0
23,BEL,1,0,0,1,1980,84,0
23,IND,1,0,0,1,1980,78,0
23,ZWE,1,0,0,1,1980,52,0
26,PRK,0,3,2,5,1980,121,0
27,MNG,0,2,2,4,1980,57,0
28,TZA,0,2,0,2,1980,48,0
29,MEX,0,1,3,4,1980,74,0
30,NLD,0,1,2,3,1980,112,0
31,IRL,0,1,1,2,1980,57,0
32,UGA,0,1,0,1,1980,16,0
32,VEN,0,1,0,1,1980,43,0
34,JAM,0,0,3,3,1980,32,0
35,GUY,0,0,1,1,1980,10,0
35,LBN,0,0,1,1,1980,1,0
1,USA,83,61,30,174,1984,693,1
2,ROU,20,16,17,53,1984,193,0
3,DEU,17,19,23,59,1984,394,0
4,CHN,15,8,9,32,1984,323,0
5,ITA,14,6,12,32,1984,368,0
6,CAN,10,18,16,44,1984,572,0
7,JPN,10,8,14,32,1984,365,0
8,NZL,8,1,2,11,1984,162,0
9,YUG,7,4,7,18,1984,154,0
10,KOR,6,6,7,19,1984,240,0
11,GBR,5,11,21,37,1984,509,0
12,FRA,5,7,16,28,1984,354,0
13,NLD,5,2,6,13,1984,185,0
14,AUS,4,8,12,24,1984,337,0
15,FIN,4,2,6,12,1984,107,0
16,SWE,2,11,6,19,1984,254,0
17,MEX,2,3,1,6,1984,155,0
18,MAR,2,0,0,2,1984,35,0
19,BRA,1,5,2,8,1984,197,0
20,ESP,1,2,2,5,1984,257,0
21,BEL,1,1,2,4,1984,86,0
22,AUT,1,1,1,3,1984,130,0
23,KEN,1,0,2,3,1984,67,0
23,PRT,1,0,2,3,1984,48,0
25,PAK,1,0,0,1,1984,33,0
26,CHE,0,4,4,8,1984,245,0
27,DNK,0,3,3,6,1984,74,0
28,JAM,0,1,2,3,1984,75,0
28,NOR,0,1,2,3,1984,132,0
30,GRC,0,1,1,2,1984,73,0
30,NGA,0,1,1,2,1984,36,0
30,PRI,0,1,1,2,1984,58,0
33,COL,0,1,0,1,1984,48,0
33,EGY,0,1,0,1,1984,148,0
33,IRL,0,1,0,1,1984,55,0
33,CIV,0,1,0,1,1984,18,0
33,PER,0,1,0,1,1984,44,0
33,SYR,0,1,0,1,1984,9,0
33,THA,0,1,0,1,1984,40,0
40,TUR,0,0,3,3,1984,62,0
40,VEN,0,0,3,3,1984,44,0
42,DZA,0,0,2,2,1984,33,0
43,CMR,0,0,1,1,1984,56,0
43,TWN,0,0,1,1,1984,52,0
43,DOM,0,0,1,1,1984,24,0
43,ISL,0,0,1,1,1984,35,0
43,ZMB,0,0,1,1,1984,18,0
2,DDR,37,35,30,102,1988,402,0
3,USA,36,31,27,94,1988,715,0
4,KOR,12,10,11,33,1988,551,1
5,DEU,11,14,15,40,1988,4,0
6,HUN,11,6,6,23,1988,315,0
7,BGR,10,12,13,35,1988,281,0
8,ROU,7,11,6,24,1988,172,0
9,FRA,6,4,6,16,1988,413,0
10,ITA,6,4,4,14,1988,374,0
11,CHN,5,11,12,28,1988,427,0
12,GBR,5,10,9,24,1988,472,0
13,KEN,5,2,2,9,1988,88,0
14,JPN,4,3,7,14,1988,412,0
15,AUS,3,6,5,14,1988,339,0
16,YUG,3,4,5,12,1988,183,0
18,NZL,3,2,8,13,1988,112,0
19,CAN,3,2,5,10,1988,503,0
20,POL,2,5,9,16,1988,192,0
21,NOR,2,3,0,5,1988,79,0
22,NLD,2,2,5,9,1988,202,0
23,DNK,2,1,1,4,1988,130,0
24,BRA,1,2,3,6,1988,233,0
25,FIN,1,1,2,4,1988,101,0
25,ESP,1,1,2,4,1988,317,0
27,TUR,1,1,0,2,1988,51,0
28,MAR,1,0,2,3,1988,29,0
29,AUT,1,0,0,1,1988,96,0
29,PRT,1,0,0,1,1988,91,0
29,SUR,1,0,0,1,1988,10,0
32,SWE,0,4,7,11,1988,251,0
33,CHE,0,2,2,4,1988,151,0
34,JAM,0,2,0,2,1988,49,0
35,ARG,0,1,1,2,1988,134,0
36,CHL,0,1,0,1,1988,23,0
36,CRI,0,1,0,1,1988,33,0
36,IDN,0,1,0,1,1988,43,0
36,IRN,0,1,0,1,1988,26,0
36,PER,0,1,0,1,1988,26,0
36,SEN,0,1,0,1,1988,35,0
36,VGB,0,1,0,1,1988,4,0
44,BEL,0,0,2,2,1988,85,0
44,MEX,0,0,2,2,1988,144,0
46,COL,0,0,1,1,1988,57,0
46,DJI,0,0,1,1,1988,6,0
46,GRC,0,0,1,1,1988,72,0
46,MNG,0,0,1,1,1988,32,0
46,PAK,0,0,1,1,1988,33,0
46,PHL,0,0,1,1,1988,42,0
46,THA,0,0,1,1,1988,15,0
2,USA,37,34,37,108,1992,734,0
