NOC,Year,Bronze,Gold,No medal,Silver,Participants,Events,is_host
AUS,2004,31,49,444,77,601,33,0
AUS,2008,76,31,421,42,570,31,0
AUS,2012,59,18,400,37,514,29,0
AUS,2016,25,23,436,34,518,31,0
AUS,2020,67,36,507,28,638,41,0
AUS,2024,44,33,528,44,649,44,0
AUT,1896,2,2,3,1,8,3,0
AUT,1900,3,0,20,3,26,4,0
AUT,1904,1,2,3,1,7,2,0
AUT,1906,3,3,91,3,100,9,0
AUT,1908,1,0,12,0,13,4,0
AUT,1912,5,0,118,9,132,12,0
AUT,1924,1,0,52,3,56,8,0
AUT,1928,2,3,108,0,113,13,0
AUT,1932,3,1,28,1,33,7,0
AUT,1936,7,6,308,42,363,19,0
AUT,1948,4,2,231,2,239,17,0
AUT,1952,2,0,235,1,238,16,0
AUT,1956,4,0,53,0,57,12,0
AUT,1960,0,1,195,2,198,15,0
AUT,1964,0,0,82,0,82,14,0
AUT,1968,3,0,54,2,59,12,0
AUT,1972,2,0,140,1,143,15,0
AUT,1976,1,0,72,0,73,15,0
AUT,1980,1,1,87,3,92,16,0
AUT,1984,1,1,127,1,130,18,0
AUT,1988,0,1,95,0,96,17,0
AUT,1992,0,0,121,6,127,17,0
AUT,1996,2,0,89,1,92,15,0
AUT,2000,0,3,110,1,114,17,0
AUT,2004,1,3,84,4,92,18,0
AUT,2008,2,0,90,1,93,16,0
AUT,2012,0,0,90,0,90,19,0
AUT,2016,2,0,83,0,85,23,0
AUT,2020,5,1,96,1,103,24,0
AUT,2024,3,3,115,0,121,26,0
AZE,1996,0,0,23,1,24,9,0
AZE,2000,1,2,29,0,32,8,0
AZE,2004,4,1,32,0,37,10,0
AZE,2008,4,1,37,2,44,10,0
AZE,2012,6,2,49,2,59,15,0
AZE,2016,10,1,51,7,69,15,0
AZE,2020,4,0,48,3,55,14,0
AZE,2024,3,2,42,2,49,15,0
BAH,1952,0,0,7,0,7,1,0
BAH,1956,2,0,3,0,5,2,0
BAH,1960,0,0,14,0,14,2,0
BAH,1964,0,2,10,0,12,2,0
BAH,1968,0,0,22,0,22,3,0
BAH,1972,0,0,25,0,25,4,0
BAH,1976,0,0,19,0,19,3,0
BAH,1984,0,0,31,0,31,4,0
BAH,1988,0,0,18,0,18,5,0
BAH,1992,1,0,17,0,18,4,0
BAH,1996,0,0,31,5,36,4,0
BAH,2000,5,6,28,0,39,3,0
BAH,2004,1,1,26,0,28,3,0
BAH,2008,1,0,26,6,33,4,0
BAH,2012,0,4,25,0,29,2,0
BAH,2016,5,1,32,0,38,3,0
BAH,2020,0,2,20,0,22,2,0
BAH,2024,0,0,21,0,21,2,0
BAN,1984,0,0,2,0,2,1,0
BAN,1988,0,0,11,0,11,2,0
BAN,1992,0,0,9,0,9,3,0
BAN,1996,0,0,4,0,4,3,0
BAN,2000,0,0,6,0,6,3,0
BAN,2004,0,0,4,0,4,3,0
BAN,2008,0,0,5,0,5,3,0
BAN,2012,0,0,7,0,7,5,0
BAN,2016,0,0,7,0,7,5,0
BAN,2020,0,0,8,0,8,4,0
BAN,2024,0,0,5,0,5,4,0
BAR,1968,0,0,13,0,13,5,0
BAR,1972,0,0,20,0,20,4,0
BAR,1976,0,0,17,0,17,2,0
BAR,1984,0,0,25,0,25,6,0
BAR,1988,0,0,26,0,26,7,0
BAR,1992,0,0,22,0,22,5,0
BAR,1996,0,0,22,0,22,7,0
BAR,2000,1,0,27,0,28,6,0
BAR,2004,0,0,15,0,15,5,0
BAR,2008,0,0,10,0,10,3,0
BAR,2012,0,0,8,0,8,3,0
BAR,2016,0,0,13,0,13,5,0
BAR,2020,0,0,9,0,9,2,0
BAR,2024,0,0,4,0,4,3,0
BDI,1996,0,1,6,0,7,1,0
BDI,2000,0,0,6,0,6,1,0
BDI,2004,0,0,7,0,7,2,0
BDI,2008,0,0,3,0,3,2,0
BDI,2012,0,0,6,0,6,3,0
BDI,2016,0,0,9,1,10,3,0
BDI,2020,0,0,7,0,7,3,0
BDI,2024,0,0,8,0,8,3,0
BEL,1900,13,6,57,24,100,10,0
BEL,1906,6,2,20,3,31,7,0
BEL,1908,8,1,66,24,99,11,0
BEL,1912,11,7,53,1,72,9,0
BEL,1920,66,57,330,65,518,23,1
BEL,1924,6,3,195,30,234,17,0
BEL,1928,4,0,255,1,260,15,0
BEL,1932,1,0,68,0,69,2,0
BEL,1936,14,0,191,0,205,15,0
BEL,1948,8,5,167,2,182,17,0
BEL,1952,0,5,176,3,184,16,0
BEL,1956,0,0,80,2,82,13,0
BEL,1960,2,0,146,2,150,16,0
BEL,1964,1,2,71,0,74,13,0
BEL,1968,2,0,103,1,106,13,0
BEL,1972,0,0,104,2,106,14,0
BEL,1976,6,0,140,3,149,16,0
BEL,1980,0,1,83,0,84,10,0
BEL,1984,2,1,81,2,86,14,0
BEL,1988,2,0,83,0,85,16,0
BEL,1992,2,0,100,1,103,18,0
BEL,1996,2,2,75,2,81,14,0
BEL,2000,4,0,87,3,94,16,0
BEL,2004,2,1,67,0,70,14,0
BEL,2008,0,1,107,4,112,16,0
BEL,2012,2,0,139,1,142,16,0
BEL,2016,2,2,117,17,138,19,0
BEL,2020,6,20,158,1,185,25,0
BEL,2024,5,3,231,1,240,25,0
BEN,1972,0,0,3,0,3,2,0
BEN,1980,0,0,17,0,17,2,0
BEN,1984,0,0,3,0,3,1,0
BEN,1988,0,0,10,0,10,2,0
BEN,1992,0,0,7,0,7,2,0
BEN,1996,0,0,7,0,7,1,0
BEN,2000,0,0,4,0,4,3,0
BEN,2004,0,0,4,0,4,2,0
BEN,2008,0,0,5,0,5,3,0
BEN,2012,0,0,5,0,5,4,0
BEN,2016,0,0,6,0,6,4,0
BEN,2020,0,0,7,0,7,4,0
BEN,2024,0,0,5,0,5,3,0
BER,1936,0,0,9,0,9,1,0
BER,1948,0,0,28,0,28,3,0
BER,1952,0,0,12,0,12,3,0
BER,1956,0,0,3,0,3,1,0
BER,1960,0,0,9,0,9,1,0
BER,1964,0,0,4,0,4,1,0
BER,1968,0,0,6,0,6,2,0
BER,1972,0,0,9,0,9,3,0
BER,1976,1,0,19,0,20,3,0
BER,1984,0,0,13,0,13,5,0
BER,1988,0,0,14,0,14,6,0
BER,1992,0,0,29,0,29,4,0
BER,1996,0,0,10,0,10,4,0
BER,2000,0,0,7,0,7,4,0
BER,2004,0,0,10,0,10,6,0
BER,2008,0,0,6,0,6,4,0
BER,2012,0,0,8,0,8,5,0
BER,2016,0,0,8,0,8,5,0
BER,2020,0,1,1,0,2,2,0
BER,2024,0,0,8,0,8,5,0
BHU,1984,0,0,6,0,6,1,0
BHU,1988,0,0,6,0,6,1,0
BHU,1992,0,0,12,0,12,1,0
BHU,1996,0,0,2,0,2,1,0
BHU,2000,0,0,2,0,2,1,0
BHU,2004,0,0,2,0,2,1,0
BHU,2008,0,0,2,0,2,1,0
BHU,2012,0,0,2,0,2,2,0
BHU,2016,0,0,2,0,2,2,0
BHU,2020,0,0,4,0,4,4,0
BHU,2024,0,0,3,0,3,3,0
BIH,1992,0,0,13,0,13,6,0
BIH,1996,0,0,12,0,12,7,0
BIH,2000,0,0,11,0,11,4,0
BIH,2004,0,0,11,0,11,8,0
BIH,2008,0,0,7,0,7,4,0
BIH,2012,0,0,8,0,8,4,0
BIH,2016,0,0,11,0,11,5,0
BIH,2020,0,0,8,0,8,5,0
BIH,2024,0,0,6,0,6,3,0
BIZ,1968,0,0,7,0,7,4,0
BIZ,1972,0,0,2,0,2,1,0
BIZ,1976,0,0,4,0,4,2,0
BIZ,1984,0,0,13,0,13,3,0
BIZ,1988,0,0,13,0,13,2,0
BIZ,1992,0,0,18,0,18,2,0
BIZ,1996,0,0,5,0,5,2,0
BIZ,2000,0,0,2,0,2,1,0
BIZ,2004,0,0,2,0,2,1,0
BIZ,2008,0,0,4,0,4,2,0
BIZ,2012,0,0,3,0,3,2,0
BIZ,2016,0,0,3,0,3,2,0
BIZ,2020,0,0,4,0,4,2,0
BIZ,2024,0,0,1,0,1,1,0
BLR,1996,16,1,236,6,259,19,0
BLR,2000,11,3,209,8,231,20,0
BLR,2004,8,2,177,5,192,22,0
BLR,2008,16,8,208,5,237,24,0
BLR,2012,8,3,162,12,185,23,0
BLR,2016,7,1,130,4,142,22,0
BLR,2020,3,1,127,6,137,20,0
BOH,1900,2,0,6,1,9,4,0
BOH,1906,3,0,26,0,29,6,0
BOH,1908,6,0,35,0,41,5,0
BOH,1912,0,0,74,0,74,8,0
BOL,1936,0,0,2,0,2,2,0
BOL,1964,0,0,1,0,1,1,0
BOL,1968,0,0,4,0,4,3,0
BOL,1972,0,0,14,0,14,3,0
BOL,1976,0,0,5,0,5,4,0
BOL,1984,0,0,13,0,13,6,0
BOL,1988,0,0,12,0,12,6,0
BOL,1992,0,0,21,0,21,6,0
BOL,1996,0,0,9,0,9,5,0
BOL,2000,0,0,5,0,5,3,0
BOL,2004,0,0,11,0,11,5,0
BOL,2008,0,0,7,0,7,5,0
BOL,2012,0,0,5,0,5,3,0
BOL,2016,0,0,12,0,12,5,0
BOL,2020,0,0,5,0,5,3,0
BOL,2024,0,0,4,0,4,2,0
BOT,1980,0,0,8,0,8,1,0
BOT,1984,0,0,8,0,8,2,0
BOT,1988,0,0,11,0,11,2,0
BOT,1992,0,0,6,0,6,2,0
BOT,1996,0,0,7,0,7,2,0
BOT,2000,0,0,9,0,9,2,0
BOT,2004,0,0,12,0,12,2,0
BOT,2008,0,0,11,0,11,3,0
BOT,2012,0,0,3,1,4,2,0
BOT,2016,0,0,14,0,14,3,0
BOT,2020,6,0,10,0,16,4,0
BOT,2024,0,1,12,6,19,2,0
BRA,1900,0,0,3,0,3,1,0
BRA,1920,5,1,31,1,38,5,0
BRA,1924,0,0,18,0,18,4,0
BRA,1932,0,0,67,0,67,5,0
BRA,1936,0,0,94,0,94,9,0
BRA,1948,10,0,95,0,105,11,0
BRA,1952,2,1,116,0,119,14,0
BRA,1956,0,1,62,0,63,12,0
BRA,1960,13,0,73,0,86,14,0
BRA,1964,12,0,53,0,65,11,0
BRA,1968,3,0,85,1,89,13,0
BRA,1972,2,0,102,0,104,13,0
BRA,1976,3,0,86,0,89,12,0
BRA,1980,5,4,140,0,149,14,0
BRA,1984,2,1,161,33,197,17,0
BRA,1988,5,1,210,17,233,21,0
BRA,1992,0,13,219,1,233,23,0
BRA,1996,43,5,188,15,251,18,0
BRA,2000,36,0,188,12,236,24,0
BRA,2004,3,18,278,19,318,26,0
BRA,2008,30,14,260,34,338,28,0
BRA,2012,11,14,247,34,306,27,0
BRA,2016,6,36,533,8,583,34,1
BRA,2020,9,29,361,17,416,33,0
BRA,2024,35,4,334,28,401,38,0
BRN,1984,0,0,14,0,14,4,0
BRN,1988,0,0,16,0,16,3,0
BRN,1992,0,0,15,0,15,2,0
BRN,1996,0,0,5,0,5,2,0
BRN,2000,0,0,4,0,4,2,0
BRN,2004,0,0,10,0,10,4,0
BRN,2008,0,0,15,0,15,3,0
BRN,2012,1,0,13,0,14,3,0
BRN,2016,0,1,31,1,33,4,0
BRN,2020,0,0,32,1,33,5,0
BRN,2024,1,2,11,1,15,5,0
BRU,1996,0,0,1,0,1,1,0
BRU,2000,0,0,2,0,2,2,0
BRU,2004,0,0,1,0,1,1,0
BRU,2012,0,0,3,0,3,2,0
BRU,2016,0,0,3,0,3,2,0
BRU,2020,0,0,2,0,2,2,0
BRU,2024,0,0,3,0,3,2,0
BUL,1924,0,0,31,0,31,4,0
BUL,1928,0,0,10,0,10,2,0
BUL,1932,0,0,2,0,2,1,0
BUL,1936,0,0,85,0,85,7,0
BUL,1952,1,0,178,0,179,8,0
BUL,1956,14,1,64,3,82,7,0
BUL,1960,3,1,176,3,183,12,0
BUL,1964,2,3,106,5,116,9,0
BUL,1968,3,2,163,21,189,13,0
BUL,1972,6,6,204,10,226,15,0
BUL,1976,18,8,215,13,254,14,0
BUL,1980,38,8,307,44,397,20,0
BUL,1988,17,10,240,14,281,16,0
BUL,1992,7,3,219,7,236,19,0
BUL,1996,6,3,160,12,181,17,0
BUL,2000,2,5,137,6,150,16,0
BUL,2004,14,2,102,1,119,19,0
BUL,2008,3,1,82,1,87,15,0
BUL,2012,1,0,73,1,75,17,0
BUL,2016,6,0,51,1,58,14,0
BUL,2020,2,7,46,1,56,13,0
BUL,2024,3,3,54,1,61,16,0
BUR,1972,0,0,1,0,1,1,0
BUR,1988,0,0,9,0,9,2,0
BUR,1992,0,0,4,0,4,2,0
BUR,1996,0,0,5,0,5,2,0
BUR,2000,0,0,4,0,4,3,0
BUR,2004,0,0,5,0,5,3,0
BUR,2008,0,0,6,0,6,4,0
BUR,2012,0,0,5,0,5,3,0
BUR,2016,0,0,5,0,5,3,0
BUR,2020,1,0,7,0,8,5,0
BUR,2024,0,0,8,0,8,5,0
CAF,1968,0,0,1,0,1,1,0
CAF,1984,0,0,3,0,3,2,0
CAF,1988,0,0,15,0,15,3,0
CAF,1992,0,0,21,0,21,3,0
CAF,1996,0,0,5,0,5,1,0
CAF,2000,0,0,3,0,3,2,0
CAF,2004,0,0,4,0,4,3,0
CAF,2008,0,0,3,0,3,2,0
CAF,2012,0,0,6,0,6,4,0
CAF,2016,0,0,6,0,6,4,0
CAF,2020,0,0,2,0,2,2,0
CAF,2024,0,0,4,0,4,3,0
CAM,1956,0,0,2,0,2,1,0
CAM,1964,0,0,15,0,15,3,0
CAM,1972,0,0,17,0,17,3,0
CAM,1996,0,0,5,0,5,3,0
CAM,2000,0,0,4,0,4,2,0
CAM,2004,0,0,4,0,4,2,0
CAM,2008,0,0,4,0,4,2,0
CAM,2012,0,0,6,0,6,4,0
CAM,2016,0,0,6,0,6,4,0
CAM,2020,0,0,3,0,3,2,0
CAM,2024,0,0,3,0,3,2,0
CAN,1900,1,1,5,0,7,1,0
CAN,1904,12,27,13,9,61,6,0
CAN,1906,0,1,2,1,4,1,0
CAN,1908,30,14,96,8,148,11,0
CAN,1912,3,3,52,2,60,7,0
CAN,1920,3,10,69,3,85,9,0
CAN,1924,1,0,63,19,83,8,0
CAN,1928,21,7,80,5,113,8,0
CAN,1932,24,2,152,13,191,10,0
CAN,1936,9,1,145,12,167,12,0
CAN,1948,5,0,181,2,188,13,0
CAN,1952,0,1,150,3,154,13,0
CAN,1956,5,5,131,9,150,15,0
CAN,1960,0,0,131,9,140,14,0
CAN,1964,1,2,189,2,194,16,0
CAN,1968,4,3,281,3,291,14,0
CAN,1972,9,0,333,2,344,18,0
CAN,1976,14,0,508,9,531,23,1
CAN,1984,32,19,485,36,572,23,0
CAN,1988,14,4,480,5,503,23,0
CAN,1992,12,27,401,5,445,24,0
CAN,1996,12,8,358,30,408,25,0
CAN,2000,23,4,391,4,422,29,0
CAN,2004,4,3,374,10,391,28,0
CAN,2008,11,11,414,13,449,30,0
CAN,2012,33,1,299,21,354,28,0
CAN,2016,61,4,336,4,405,31,0
CAN,2020,38,36,424,11,509,40,0
CAN,2024,14,14,481,29,538,40,0
CAY,1976,0,0,2,0,2,1,0
CAY,1984,0,0,14,0,14,2,0
CAY,1988,0,0,12,0,12,2,0
CAY,1992,0,0,13,0,13,3,0
CAY,1996,0,0,9,0,9,3,0
CAY,2000,0,0,4,0,4,2,0
CAY,2004,0,0,8,0,8,2,0
CAY,2008,0,0,6,0,6,2,0
CAY,2012,0,0,7,0,7,2,0
CAY,2016,0,0,5,0,5,3,0
CAY,2020,0,0,9,0,9,3,0
CAY,2024,0,0,5,0,5,3,0
CGO,1964,0,0,2,0,2,1,0
CGO,1972,0,0,8,0,8,1,0
CGO,1980,0,0,25,0,25,3,0
CGO,1984,0,0,13,0,13,2,0
CGO,1988,0,0,10,0,10,1,0
CGO,1992,0,0,10,0,10,2,0
CGO,1996,0,0,5,0,5,3,0
CGO,2000,0,0,5,0,5,3,0
CGO,2004,0,0,5,0,5,4,0
CGO,2008,0,0,5,0,5,3,0
CGO,2012,0,0,7,0,7,3,0
CGO,2016,0,0,10,0,10,5,0
CGO,2020,0,0,3,0,3,2,0
CGO,2024,0,0,4,0,4,3,0
CHA,1964,0,0,2,0,2,1,0
CHA,1968,0,0,4,0,4,1,0
CHA,1972,0,0,5,0,5,2,0
CHA,1984,0,0,3,0,3,1,0
CHA,1988,0,0,6,0,6,1,0
CHA,1992,0,0,7,0,7,2,0
CHA,1996,0,0,4,0,4,1,0
CHA,2000,0,0,3,0,3,1,0
CHA,2004,0,0,1,0,1,1,0
CHA,2008,0,0,2,0,2,1,0
CHA,2012,0,0,2,0,2,2,0
CHA,2016,0,0,2,0,2,1,0
CHA,2020,0,0,3,0,3,3,0
CHA,2024,0,0,3,0,3,3,0
CHI,1912,0,0,28,0,28,4,0
CHI,1920,0,0,2,0,2,1,0
CHI,1924,0,0,18,0,18,5,0
CHI,1928,0,0,45,1,46,6,0
CHI,1936,0,0,56,0,56,8,0
CHI,1948,0,0,72,0,72,9,0
CHI,1952,0,0,78,4,82,9,0
CHI,1956,2,0,39,2,43,8,0
CHI,1960,0,0,9,0,9,3,0
CHI,1964,0,0,16,0,16,6,0
CHI,1968,0,0,25,0,25,4,0
CHI,1972,0,0,13,0,13,5,0
CHI,1976,0,0,9,0,9,4,0
CHI,1984,0,0,64,0,64,8,0
CHI,1988,0,0,22,1,23,6,0
CHI,1992,0,0,15,0,15,7,0
CHI,1996,0,0,24,0,24,10,0
CHI,2000,17,0,41,0,58,14,0
CHI,2004,1,3,25,0,29,11,0
CHI,2008,0,0,28,1,29,14,0
CHI,2012,0,0,44,0,44,17,0
CHI,2016,0,0,47,0,47,16,0
CHI,2020,0,0,63,0,63,25,0
CHI,2024,0,1,50,1,52,22,0
CHN,1932,0,0,2,0,2,1,0
CHN,1936,0,0,65,0,65,7,0
CHN,1948,0,0,33,0,33,6,0
CHN,1952,0,0,1,0,1,1,0
CHN,1984,37,24,249,13,323,19,0
CHN,1988,30,6,375,16,427,25,0
CHN,1992,19,18,312,45,394,23,0
CHN,1996,17,19,332,70,438,25,0
CHN,2000,17,39,335,23,414,28,0
CHN,2004,15,52,424,27,518,31,0
CHN,2008,57,74,546,53,730,34,1
CHN,2012,29,56,354,40,479,29,0
CHN,2016,37,46,386,30,499,32,0
CHN,2020,33,59,433,49,574,41,0
CHN,2024,40,71,419,57,587,42,0
CIV,1964,0,0,10,0,10,2,0
CIV,1968,0,0,11,0,11,2,0
CIV,1972,0,0,13,0,13,2,0
CIV,1976,0,0,11,0,11,1,0
CIV,1984,0,0,17,1,18,4,0
CIV,1988,0,0,29,0,29,5,0
CIV,1992,0,0,18,0,18,3,0
CIV,1996,0,0,13,0,13,4,0
CIV,2000,0,0,18,0,18,5,0
CIV,2004,0,0,5,0,5,3,0
CIV,2008,0,0,22,0,22,5,0
CIV,2012,0,0,10,0,10,6,0
CIV,2016,1,1,13,0,15,6,0
CIV,2020,1,0,31,0,32,6,0
CIV,2024,1,0,17,0,18,4,0
CMR,1964,0,0,2,0,2,1,0
CMR,1968,0,0,4,1,5,2,0
CMR,1972,0,0,18,0,18,3,0
CMR,1976,0,0,4,0,4,1,0
CMR,1980,0,0,29,0,29,5,0
CMR,1984,1,0,55,0,56,6,0
CMR,1988,0,0,21,0,21,4,0
CMR,1992,0,0,12,0,12,2,0
CMR,1996,0,0,19,0,19,5,0
CMR,2000,0,18,21,0,39,4,0
CMR,2004,0,1,18,0,19,5,0
CMR,2008,0,1,31,0,32,9,0
CMR,2012,0,0,32,0,32,9,0
CMR,2016,0,0,22,0,22,6,0
CMR,2020,0,0,12,0,12,7,0
CMR,2024,0,0,6,0,6,4,0
COD,1968,0,0,8,0,8,1,0
COD,1984,0,0,9,0,9,2,0
COD,1988,0,0,21,0,21,3,0
COD,1992,0,0,19,0,19,4,0
COD,1996,0,0,14,0,14,2,0
COD,2000,0,0,3,0,3,1,0
COD,2004,0,0,6,0,6,2,0
COD,2008,0,0,5,0,5,4,0
COD,2012,0,0,4,0,4,3,0
COD,2016,0,0,4,0,4,3,0
COD,2020,0,0,7,0,7,4,0
COD,2024,0,0,6,0,6,4,0
COK,1988,0,0,8,0,8,3,0
COK,1992,0,0,2,0,2,2,0
COK,1996,0,0,3,0,3,3,0
COK,2000,0,0,2,0,2,2,0
COK,2004,0,0,3,0,3,2,0
COK,2008,0,0,4,0,4,3,0
COK,2012,0,0,9,0,9,5,0
COK,2016,0,0,9,0,9,5,0
COK,2020,0,0,9,0,9,4,0
COK,2024,0,0,2,0,2,2,0
COL,1900,0,0,0,1,1,1,0
COL,1932,0,0,2,0,2,2,0
COL,1936,0,0,6,0,6,1,0
COL,1948,0,0,11,0,11,3,0
COL,1956,0,0,47,0,47,6,0
