Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
24,NZL,1,0,0,1,1928,103,0
24,ESP,1,0,0,1,1928,140,0
24,URY,1,0,0,1,1928,412,0
29,BEL,0,1,2,3,1928,280,0
30,CHL,0,1,0,1,1928,392,0
30,HTI,0,1,0,1,1928,224,0
32,PHL,0,0,1,1,1928,266,0
32,PRT,0,0,1,1,1928,274,0
1,USA,44,36,30,110,1932,190,1
2,ITA,12,12,12,36,1932,337,0
3,FRA,11,5,4,20,1932,339,0
4,SWE,10,5,9,24,1932,390,0
5,JPN,7,7,4,18,1932,550,0
6,HUN,6,5,5,16,1932,788,0
7,DEU,5,12,7,24,1932,601,0
8,FIN,5,8,12,25,1932,570,0
9,GBR,5,7,5,17,1932,514,0
10,POL,3,2,4,9,1932,518,0
11,AUS,3,1,1,5,1932,638,0
12,ARG,3,1,0,4,1932,649,0
13,CAN,2,5,9,16,1932,8,0
14,NLD,2,5,1,8,1932,26,0
15,ZAF,2,0,3,5,1932,7,0
16,IRL,2,0,0,2,1932,100,0
18,AUT,1,1,3,5,1932,132,0
19,IND,1,0,0,1,1932,56,0
20,DNK,0,5,3,8,1932,113,0
21,MEX,0,2,0,2,1932,33,0
22,LVA,0,1,0,1,1932,363,0
22,NZL,0,1,0,1,1932,239,0
22,CHE,0,1,0,1,1932,238,0
25,PHL,0,0,3,3,1932,57,0
26,BEL,0,0,1,1,1932,198,0
26,ESP,0,0,1,1,1932,82,0
26,URY,0,0,1,1,1932,59,0
1,DEU,38,31,32,101,1936,143,1
2,USA,24,21,12,57,1936,73,0
3,HUN,10,1,5,16,1936,92,0
4,ITA,9,13,5,27,1936,130,0
5,FIN,8,6,6,20,1936,96,0
6,FRA,7,6,6,19,1936,127,0
7,SWE,6,5,10,21,1936,92,0
8,JPN,6,4,10,20,1936,114,0
9,NLD,6,4,7,17,1936,92,0
10,AUT,5,7,5,17,1936,93,0
11,CHE,4,9,5,18,1936,90,0
12,GBR,4,7,3,14,1936,85,0
14,ARG,2,2,3,7,1936,121,0
14,EST,2,2,3,7,1936,24,0
16,EGY,2,1,2,5,1936,32,0
17,CAN,1,3,5,9,1936,37,0
18,NOR,1,3,2,6,1936,44,0
19,TUR,1,0,1,2,1936,59,0
20,IND,1,0,0,1,1936,69,0
20,NZL,1,0,0,1,1936,55,0
22,POL,0,4,5,9,1936,49,0
23,DNK,0,2,3,5,1936,7,0
24,LVA,0,1,1,2,1936,5,0
25,ROU,0,1,0,1,1936,14,0
25,ZAF,0,1,0,1,1936,12,0
25,YUG,0,1,0,1,1936,22,0
28,BEL,0,0,3,3,1936,25,0
28,MEX,0,0,3,3,1936,19,0
30,AUS,0,0,1,1,1936,31,0
30,PHL,0,0,1,1,1936,18,0
30,PRT,0,0,1,1,1936,18,0
1,USA,38,27,19,84,1948,36,0
2,SWE,16,11,17,44,1948,39,0
3,FRA,10,6,13,29,1948,28,0
4,HUN,10,5,12,27,1948,33,0
5,ITA,8,11,8,27,1948,29,0
6,FIN,8,7,5,20,1948,38,0
7,TUR,6,4,2,12,1948,22,0
9,CHE,5,10,5,20,1948,2,0
10,DNK,5,7,8,20,1948,11,0
11,NLD,5,2,9,16,1948,9,0
12,GBR,3,14,6,23,1948,4,1
13,ARG,3,3,1,7,1948,6,0
14,AUS,2,6,5,13,1948,4,0
15,BEL,2,2,3,7,1948,5,0
16,EGY,2,2,1,5,1948,7,0
17,MEX,2,1,2,5,1948,7,0
18,ZAF,2,1,1,4,1948,8,0
19,NOR,1,3,3,7,1948,5,0
20,JAM,1,2,0,3,1948,13,0
21,AUT,1,0,3,4,1948,20,0
22,IND,1,0,0,1,1948,17,0
22,PER,1,0,0,1,1948,25,0
24,YUG,0,2,0,2,1948,26,0
25,CAN,0,1,2,3,1948,22,0
26,PRT,0,1,1,2,1948,22,0
26,URY,0,1,1,2,1948,28,0
28,CUB,0,1,0,1,1948,10,0
28,ESP,0,1,0,1,1948,8,0
28,TTO,0,1,0,1,1948,13,0
32,PAN,0,0,2,2,1948,9,0
32,KOR,0,0,2,2,1948,4,0
34,BRA,0,0,1,1,1948,7,0
34,IRN,0,0,1,1,1948,6,0
34,POL,0,0,1,1,1948,7,0
34,PRI,0,0,1,1,1948,3,0
1,USA,40,19,17,76,1952,6,0
3,HUN,16,10,16,42,1952,7,0
4,SWE,12,13,10,35,1952,8,0
5,ITA,8,9,4,21,1952,100,0
7,FRA,6,6,6,18,1952,99,0
8,FIN,6,3,13,22,1952,72,1
9,AUS,6,2,3,11,1952,518,0
10,NOR,3,2,0,5,1952,234,0
11,CHE,2,6,6,14,1952,260,0
12,ZAF,2,4,4,10,1952,69,0
13,JAM,2,3,0,5,1952,205,0
14,BEL,2,2,0,4,1952,182,0
15,DNK,2,1,3,6,1952,184,0
16,TUR,2,0,1,3,1952,82,0
17,JPN,1,6,2,9,1952,150,0
18,GBR,1,2,8,11,1952,74,0
19,ARG,1,2,2,5,1952,106,0
20,POL,1,2,1,4,1952,106,0
21,CAN,1,2,0,3,1952,149,0
21,YUG,1,2,0,3,1952,84,0
23,ROU,1,1,2,4,1952,86,0
24,BRA,1,0,2,3,1952,85,0
24,NZL,1,0,2,3,1952,103,0
26,IND,1,0,1,2,1952,81,0
27,LUX,1,0,0,1,1952,94,0
28,DEU,0,7,17,24,1952,70,0
29,NLD,0,5,0,5,1952,112,0
30,IRN,0,3,4,7,1952,142,0
31,CHL,0,2,0,2,1952,138,0
32,AUT,0,1,1,2,1952,185,0
32,LBN,0,1,1,2,1952,240,0
34,IRL,0,1,0,1,1952,3,0
34,MEX,0,1,0,1,1952,17,0
34,ESP,0,1,0,1,1952,3,0
37,KOR,0,0,2,2,1952,10,0
37,TTO,0,0,2,2,1952,7,0
37,URY,0,0,2,2,1952,7,0
40,BGR,0,0,1,1,1952,4,0
40,EGY,0,0,1,1,1952,4,0
40,PRT,0,0,1,1,1952,5,0
40,VEN,0,0,1,1,1952,5,0
2,USA,32,25,17,74,1956,7,0
3,AUS,13,8,14,35,1956,5,1
4,HUN,9,10,7,26,1956,9,0
5,ITA,8,8,9,25,1956,28,0
6,SWE,8,5,6,19,1956,12,0
7,DEU,6,13,7,26,1956,3,0
8,GBR,6,7,11,24,1956,9,0
9,ROU,5,3,5,13,1956,4,0
10,JPN,4,10,5,19,1956,6,0
11,FRA,4,4,6,14,1956,9,0
12,TUR,3,2,2,7,1956,20,0
13,FIN,3,1,11,15,1956,13,0
14,IRN,2,2,1,5,1956,14,0
15,CAN,2,1,3,6,1956,29,0
16,NZL,2,0,0,2,1956,10,0
17,POL,1,4,4,9,1956,7,0
19,BGR,1,3,1,5,1956,6,0
20,DNK,1,2,1,4,1956,8,0
21,IRL,1,1,3,5,1956,8,0
22,NOR,1,0,2,3,1956,2,0
23,MEX,1,0,1,2,1956,8,0
24,BRA,1,0,0,1,1956,6,0
24,IND,1,0,0,1,1956,6,0
26,YUG,0,3,0,3,1956,12,0
27,CHL,0,2,2,4,1956,2,0
28,BEL,0,2,0,2,1956,2,0
29,ARG,0,1,1,2,1956,2,0
29,KOR,0,1,1,2,1956,2,0
31,ISL,0,1,0,1,1956,2,0
31,PAK,0,1,0,1,1956,2,0
33,ZAF,0,0,4,4,1956,4,0
34,AUT,0,0,2,2,1956,3,0
35,BHS,0,0,1,1,1956,13,0
35,GRC,0,0,1,1,1956,12,0
35,CHE,0,0,1,1,1956,11,0
35,URY,0,0,1,1,1956,11,0
2,USA,34,21,16,71,1960,8,0
3,ITA,13,10,13,36,1960,11,1
4,DEU,12,19,11,42,1960,8,0
5,AUS,8,8,6,22,1960,6,0
6,TUR,7,2,0,9,1960,7,0
7,HUN,6,8,7,21,1960,2,0
8,JPN,4,7,7,18,1960,4,0
9,POL,4,6,11,21,1960,13,0
11,ROU,3,1,6,10,1960,18,0
12,GBR,2,6,12,20,1960,5,0
13,DNK,2,3,1,6,1960,2,0
14,NZL,2,0,1,3,1960,2,0
15,BGR,1,3,3,7,1960,4,0
16,SWE,1,2,3,6,1960,3,0
17,FIN,1,1,3,5,1960,3,0
18,AUT,1,1,0,2,1960,4,0
18,YUG,1,1,0,2,1960,1,0
20,PAK,1,0,1,2,1960,259,0
21,ETH,1,0,0,1,1960,231,0
21,GRC,1,0,0,1,1960,192,0
21,NOR,1,0,0,1,1960,237,0
24,CHE,0,3,3,6,1960,185,0
25,FRA,0,2,3,5,1960,142,0
26,BEL,0,2,2,4,1960,137,0
27,IRN,0,1,3,4,1960,9,0
28,NLD,0,1,2,3,1960,29,0
28,ZAF,0,1,2,3,1960,41,0
30,ARG,0,1,1,2,1960,74,0
30,EGY,0,1,1,2,1960,2,0
32,CAN,0,1,0,1,1960,1,0
32,TWN,0,1,0,1,1960,4,0
32,GHA,0,1,0,1,1960,14,0
32,IND,0,1,0,1,1960,5,0
32,MAR,0,1,0,1,1960,13,0
32,PRT,0,1,0,1,1960,12,0
32,SGP,0,1,0,1,1960,21,0
39,BRA,0,0,2,2,1960,9,0
39,IND,0,0,2,2,1960,5,0
41,IRQ,0,0,1,1,1960,11,0
41,MEX,0,0,1,1,1960,7,0
41,ESP,0,0,1,1,1960,5,0
41,VEN,0,0,1,1,1960,12,0
1,USA,36,26,28,90,1964,5,0
3,JPN,16,5,8,29,1964,8,1
4,DEU,10,22,18,50,1964,8,0
5,ITA,10,10,7,27,1964,11,0
6,HUN,10,7,5,22,1964,6,0
7,POL,7,6,10,23,1964,7,0
8,AUS,6,2,10,18,1964,9,0
10,GBR,4,12,2,18,1964,11,0
11,BGR,3,5,2,10,1964,4,0
12,FIN,3,0,2,5,1964,14,0
12,NZL,3,0,2,5,1964,16,0
14,ROU,2,4,6,12,1964,19,0
15,NLD,2,4,4,10,1964,3,0
16,TUR,2,3,1,6,1964,38,0
17,SWE,2,2,4,8,1964,18,0
18,DNK,2,1,3,6,1964,67,0
19,YUG,2,1,2,5,1964,94,0
20,BEL,2,0,1,3,1964,105,0
21,FRA,1,8,6,15,1964,119,0
22,CAN,1,2,1,4,1964,63,0
22,CHE,1,2,1,4,1964,86,0
24,BHS,1,0,0,1,1964,65,0
24,ETH,1,0,0,1,1964,89,0
24,IND,1,0,0,1,1964,104,0
27,KOR,0,2,1,3,1964,89,0
28,TTO,0,1,2,3,1964,149,0
29,TUN,0,1,1,2,1964,197,0
30,ARG,0,1,0,1,1964,233,0
30,CUB,0,1,0,1,1964,233,0
30,PAK,0,1,0,1,1964,251,0
30,PHL,0,1,0,1,1964,236,0
34,IRN,0,0,2,2,1964,318,0
35,BRA,0,0,1,1,1964,338,0
35,GHA,0,0,1,1,1964,306,0
35,IRL,0,0,1,1,1964,583,0
35,KEN,0,0,1,1,1964,416,0
35,MEX,0,0,1,1,1964,401,0
35,NGA,0,0,1,1,1964,14,0
35,URY,0,0,1,1,1964,16,0
1,USA,45,28,34,107,1968,15,0
3,JPN,11,7,7,25,1968,4,0
4,HUN,10,10,12,32,1968,10,0
5,DDR,9,9,7,25,1968,15,0
6,FRA,7,3,5,15,1968,14,0
8,DEU,5,11,10,26,1968,33,0
9,AUS,5,7,5,17,1968,15,0
10,GBR,5,5,3,13,1968,1,0
11,POL,5,2,11,18,1968,2,0
12,ROU,4,6,5,15,1968,1,0
13,ITA,3,4,9,16,1968,3,0
14,KEN,3,4,2,9,1968,3,0
15,MEX,3,3,3,9,1968,2,1
16,YUG,3,3,2,8,1968,3,0
17,NLD,3,3,1,7,1968,31,0
18,BGR,2,4,3,9,1968,10,0
19,IRN,2,1,2,5,1968,2,0
20,SWE,2,1,1,4,1968,85,0
21,TUR,2,0,0,2,1968,179,0
22,DNK,1,4,3,8,1968,82,0
23,CAN,1,3,1,5,1968,183,0
24,FIN,1,2,1,4,1968,116,0
25,ETH,1,1,0,2,1968,189,0
25,NOR,1,1,0,2,1968,226,0
27,NZL,1,0,2,3,1968,254,0
28,TUN,1,0,1,2,1968,397,0
29,PAK,1,0,0,1,1968,281,0
29,VEN,1,0,0,1,1968,236,0
31,CUB,0,4,0,4,1968,181,0
32,AUT,0,2,2,4,1968,150,0
33,CHE,0,1,4,5,1968,119,0
34,MNG,0,1,3,4,1968,87,0
35,BRA,0,1,2,3,1968,75,0
36,BEL,0,1,1,2,1968,58,0
36,KOR,0,1,1,2,1968,56,0
36,UGA,0,1,1,2,1968,61,0
39,CMR,0,1,0,1,1968,1,0
39,JAM,0,1,0,1,1968,9,0
41,ARG,0,0,2,2,1968,4,0
42,GRC,0,0,1,1,1968,5,0
42,IND,0,0,1,1,1968,4,0
42,TWN,0,0,1,1,1968,5,0
2,USA,33,31,30,94,1972,5,0
3,DDR,20,23,23,66,1972,5,0
4,DEU,13,11,16,40,1972,8,1
5,JPN,13,8,8,29,1972,8,0
6,AUS,8,7,2,17,1972,1,0
7,POL,7,5,9,21,1972,3,0
8,HUN,6,13,16,35,1972,15,0
9,BGR,6,10,5,21,1972,21,0
10,ITA,5,3,10,18,1972,5,0
11,SWE,4,6,6,16,1972,3,0
12,GBR,4,5,9,18,1972,4,0
13,ROU,3,6,7,16,1972,3,0
14,CUB,3,1,4,8,1972,6,0
14,FIN,3,1,4,8,1972,6,0
16,NLD,3,1,1,5,1972,2,0
17,FRA,2,4,7,13,1972,4,0
19,KEN,2,3,4,9,1972,15,0
20,YUG,2,1,2,5,1972,17,0
21,NOR,2,1,1,4,1972,5,0
22,PRK,1,1,3,5,1972,4,0
23,NZL,1,1,1,3,1972,4,0
24,UGA,1,1,0,2,1972,4,0
25,DNK,1,0,0,1,1972,6,0
26,CHE,0,3,0,3,1972,6,0
27,CAN,0,2,3,5,1972,3,0
28,IRN,0,2,1,3,1972,3,0
29,BEL,0,2,0,2,1972,7,0
29,GRC,0,2,0,2,1972,61,0
31,AUT,0,1,2,3,1972,4,0
31,COL,0,1,2,3,1972,148,0
33,ARG,0,1,0,1,1972,60,0
33,LBN,0,1,0,1,1972,85,0
33,MEX,0,1,0,1,1972,83,0
33,MNG,0,1,0,1,1972,113,0
33,PAK,0,1,0,1,1972,191,0
33,KOR,0,1,0,1,1972,167,0
33,TUN,0,1,0,1,1972,188,0
33,TUR,0,1,0,1,1972,154,0
41,BRA,0,0,2,2,1972,150,0
41,ETH,0,0,2,2,1972,140,0
43,GHA,0,0,1,1,1972,194,0
43,IND,0,0,1,1,1972,291,0
43,JAM,0,0,1,1,1972,344,0
43,NER,0,0,1,1,1972,531,0
43,NGA,0,0,1,1,1972,572,0
43,ESP,0,0,1,1,1972,503,0
2,DDR,40,25,25,90,1976,408,0
3,USA,34,35,25,94,1976,422,0
4,DEU,10,12,17,39,1976,391,0
5,JPN,9,6,10,25,1976,449,0
6,POL,7,6,13,26,1976,354,0
7,BGR,6,9,7,22,1976,405,0
8,CUB,6,4,3,13,1976,509,0
9,ROU,4,9,14,27,1976,538,0
10,HUN,4,5,13,22,1976,2,0
11,FIN,4,2,0,6,1976,14,0
12,SWE,4,1,0,5,1976,12,0
13,GBR,3,5,5,13,1976,13,0
14,ITA,2,7,4,13,1976,9,0
15,FRA,2,3,4,9,1976,4,0
16,YUG,2,3,3,8,1976,8,0
18,NZL,2,1,1,4,1976,7,0
19,KOR,1,1,4,6,1976,5,0
20,CHE,1,1,2,4,1976,9,0
21,JAM,1,1,0,2,1976,5,0
21,PRK,1,1,0,2,1976,2,0
21,NOR,1,1,0,2,1976,8,0
24,DNK,1,0,2,3,1976,25,0
25,MEX,1,0,1,2,1976,13,0
26,TTO,1,0,0,1,1976,10,0
27,CAN,0,5,6,11,1976,10,1
28,BEL,0,3,3,6,1976,5,0
29,NLD,0,2,3,5,1976,5,0
30,PRT,0,2,0,2,1976,5,0
30,ESP,0,2,0,2,1976,5,0
32,AUS,0,1,4,5,1976,7,0
33,IRN,0,1,1,2,1976,10,0
34,MNG,0,1,0,1,1976,3,0
34,VEN,0,1,0,1,1976,4,0
36,BRA,0,0,2,2,1976,2,0
37,AUT,0,0,1,1,1976,4,0
37,BMU,0,0,1,1,1976,5,0
37,PAK,0,0,1,1,1976,3,0
37,PRI,0,0,1,1,1976,6,0
37,THA,0,0,1,1,1976,7,0
2,DDR,47,37,42,126,1980,3,0
3,BGR,8,16,17,41,1980,1,0
4,CUB,8,7,5,20,1980,2,0
5,ITA,8,3,4,15,1980,2,0
6,HUN,7,10,15,32,1980,2,0
7,ROU,6,6,13,25,1980,3,0
8,FRA,6,5,3,14,1980,3,0
9,GBR,5,7,9,21,1980,28,0
10,POL,3,14,15,32,1980,2,0
11,SWE,3,3,6,12,1980,18,0
12,FIN,3,1,4,8,1980,46,0
14,YUG,2,3,4,9,1980,72,0
15,AUS,2,2,5,9,1980,82,0
16,DNK,2,1,2,5,1980,43,0
17,BRA,2,0,2,4,1980,9,0
17,ETH,2,0,2,4,1980,16,0
19,CHE,2,0,0,2,1980,25,0
20,ESP,1,3,2,6,1980,13,0
21,AUT,1,2,1,4,1980,9,0
22,GRC,1,0,2,3,1980,64,0
23,BEL,1,0,0,1,1980,23,0
23,IND,1,0,0,1,1980,15,0
23,ZWE,1,0,0,1,1980,24,0
26,PRK,0,3,2,5,1980,58,0
27,MNG,0,2,2,4,1980,29,0
28,TZA,0,2,0,2,1980,29,0
29,MEX,0,1,3,4,1980,44,0
30,NLD,0,1,2,3,1980,47,0
31,IRL,0,1,1,2,1980,63,0
32,UGA,0,1,0,1,1980,52,0
32,VEN,0,1,0,1,1980,2,0
34,JAM,0,0,3,3,1980,65,0
35,GUY,0,0,1,1,1980,33,0
35,LBN,0,0,1,1,1980,1,0
1,USA,83,61,30,174,1984,323,1
2,ROU,20,16,17,53,1984,427,0
3,DEU,17,19,23,59,1984,394,0
4,CHN,15,8,9,32,1984,438,0
5,ITA,14,6,12,32,1984,414,0
6,CAN,10,18,16,44,1984,518,0
7,JPN,10,8,14,32,1984,730,0
8,NZL,8,1,2,11,1984,479,0
9,YUG,7,4,7,18,1984,499,0
10,KOR,6,6,7,19,1984,574,0
11,GBR,5,11,21,37,1984,587,0
12,FRA,5,7,16,28,1984,10,0
13,NLD,5,2,6,13,1984,11,0
14,AUS,4,8,12,24,1984,13,0
15,FIN,4,2,6,12,1984,11,0
16,SWE,2,11,6,19,1984,18,0
17,MEX,2,3,1,6,1984,29,0
18,MAR,2,0,0,2,1984,18,0
19,BRA,1,5,2,8,1984,13,0
20,ESP,1,2,2,5,1984,18,0
21,BEL,1,1,2,4,1984,5,0
22,AUT,1,1,1,3,1984,22,0
23,KEN,1,0,2,3,1984,10,0
23,PRT,1,0,2,3,1984,15,0
25,PAK,1,0,0,1,1984,32,0
26,CHE,0,4,4,8,1984,18,0
27,DNK,0,3,3,6,1984,2,0
28,JAM,0,1,2,3,1984,5,0
28,NOR,0,1,2,3,1984,18,0
30,GRC,0,1,1,2,1984,4,0
30,NGA,0,1,1,2,1984,29,0
30,PRI,0,1,1,2,1984,56,0
33,COL,0,1,0,1,1984,21,0
33,EGY,0,1,0,1,1984,12,0
33,IRL,0,1,0,1,1984,19,0
33,CIV,0,1,0,1,1984,39,0
33,PER,0,1,0,1,1984,19,0
33,SYR,0,1,0,1,1984,32,0
33,THA,0,1,0,1,1984,32,0
40,TUR,0,0,3,3,1984,22,0
40,VEN,0,0,3,3,1984,12,0
42,DZA,0,0,2,2,1984,6,0
43,CMR,0,0,1,1,1984,8,0
43,TWN,0,0,1,1,1984,9,0
43,DOM,0,0,1,1,1984,21,0
43,ISL,0,0,1,1,1984,19,0
43,ZMB,0,0,1,1,1984,14,0
2,DDR,37,35,30,102,1988,6,0
3,USA,36,31,27,94,1988,5,0
4,KOR,12,10,11,33,1988,4,1
5,DEU,11,14,15,40,1988,4,0
6,HUN,11,6,6,23,1988,7,0
7,BGR,10,12,13,35,1988,6,0
8,ROU,7,11,6,24,1988,8,0
9,FRA,6,4,6,16,1988,2,0
10,ITA,6,4,4,14,1988,3,0
11,CHN,5,11,12,28,1988,2,0
12,GBR,5,10,9,24,1988,3,0
13,KEN,5,2,2,9,1988,4,0
14,JPN,4,3,7,14,1988,9,0
15,AUS,3,6,5,14,1988,9,0
16,YUG,3,4,5,12,1988,9,0
18,NZL,3,2,8,13,1988,1,0
19,CAN,3,2,5,10,1988,2,0
20,POL,2,5,9,16,1988,6,0
21,NOR,2,3,0,5,1988,11,0
22,NLD,2,2,5,9,1988,47,0
23,DNK,2,1,1,4,1988,23,0
24,BRA,1,2,3,6,1988,40,0
25,FIN,1,1,2,4,1988,70,0
25,ESP,1,1,2,4,1988,75,0
27,TUR,1,1,0,2,1988,44,0
28,MAR,1,0,2,3,1988,28,0
29,AUT,1,0,0,1,1988,48,0
29,PRT,1,0,0,1,1988,57,0
29,SUR,1,0,0,1,1988,61,0
32,SWE,0,4,7,11,1988,62,0
33,CHE,0,2,2,4,1988,54,0
34,JAM,0,2,0,2,1988,71,0
35,ARG,0,1,1,2,1988,90,0
36,CHL,0,1,0,1,1988,120,0
36,CRI,0,1,0,1,1988,157,0
36,IDN,0,1,0,1,1988,77,0
36,IRN,0,1,0,1,1988,105,0
36,PER,0,1,0,1,1988,2,0
36,SEN,0,1,0,1,1988,3,0
36,VGB,0,1,0,1,1988,3,0
44,BEL,0,0,2,2,1988,3,0
44,MEX,0,0,2,2,1988,4,0
46,COL,0,0,1,1,1988,3,0
46,DJI,0,0,1,1,1988,5,0
46,GRC,0,0,1,1,1988,3,0
46,MNG,0,0,1,1,1988,2,0
46,PAK,0,0,1,1,1988,3,0
46,PHL,0,0,1,1,1988,2,0
46,THA,0,0,1,1,1988,3,0
2,USA,37,34,37,108,1992,5,0
